blank_steps,decoded_delta_deg,dist_to_nearest_clean,dist_to_target_clean,move_steps,nearest_angle_error_deg,nearest_clean_delta_deg,tag,target_delta_deg,velocity_deg
500,15.070713012114695,1.1704041957855225,2.3301403522491455,5,11.390143936848535,3.6098560631514602,am_lru_nw_eps0,14.999999999999996,3.0
1000,15.07752907007579,1.1708616018295288,2.3298861980438232,5,11.390143936848535,3.6098560631514602,am_lru_nw_eps0,14.999999999999996,3.0
2000,15.07757441221367,1.1708639860153198,2.3298847675323486,5,11.390143936848535,3.6098560631514602,am_lru_nw_eps0,14.999999999999996,3.0
0,14.948012819737169,1.3151694536209106,2.4585020542144775,5,11.640149351038511,3.3598506489614834,am_lru_nw_eps3e-5,14.999999999999996,3.0
1,14.917277762498289,1.164361596107483,2.364720344543457,5,11.390143936848535,3.6098560631514602,am_lru_nw_eps3e-5,14.999999999999996,3.0
5,14.915585138964476,1.1651352643966675,2.3658111095428467,5,11.390143936848535,3.6098560631514602,am_lru_nw_eps3e-5,14.999999999999996,3.0
20,14.915537902309978,1.1651325225830078,2.3658089637756348,5,11.390143936848535,3.6098560631514602,am_lru_nw_eps3e-5,14.999999999999996,3.0
100,14.915537902309978,1.1651325225830078,2.3658089637756348,5,11.390143936848535,3.6098560631514602,am_lru_nw_eps3e-5,14.999999999999996,3.0
500,14.915537902309978,1.1651325225830078,2.3658089637756348,5,11.390143936848535,3.6098560631514602,am_lru_nw_eps3e-5,14.999999999999996,3.0
1000,14.915537902309978,1.1651325225830078,2.3658089637756348,5,11.390143936848535,3.6098560631514602,am_lru_nw_eps3e-5,14.999999999999996,3.0
2000,14.915537902309978,1.1651325225830078,2.3658089637756348,5,11.390143936848535,3.6098560631514602,am_lru_nw_eps3e-5,14.999999999999996,3.0
0,14.875875444916359,1.3231924772262573,2.501065254211426,5,11.640149351038511,3.3598506489614834,am_lru_nw_eps1e-4,14.999999999999996,3.0
1,14.845183439698685,1.1737802028656006,2.4080820083618164,5,11.640149351038511,3.3598506489614834,am_lru_nw_eps1e-4,14.999999999999996,3.0
5,14.845179484859138,1.173781156539917,2.408082962036133,5,11.640149351038511,3.3598506489614834,am_lru_nw_eps1e-4,14.999999999999996,3.0
20,14.845179484859138,1.173781156539917,2.408082962036133,5,11.640149351038511,3.3598506489614834,am_lru_nw_eps1e-4,14.999999999999996,3.0
100,14.845179484859138,1.173781156539917,2.408082962036133,5,11.640149351038511,3.3598506489614834,am_lru_nw_eps1e-4,14.999999999999996,3.0
500,14.845179484859138,1.173781156539917,2.408082962036133,5,11.640149351038511,3.3598506489614834,am_lru_nw_eps1e-4,14.999999999999996,3.0
1000,14.845179484859138,1.173781156539917,2.408082962036133,5,11.640149351038511,3.3598506489614834,am_lru_nw_eps1e-4,14.999999999999996,3.0
2000,14.845179484859138,1.173781156539917,2.408082962036133,5,11.640149351038511,3.3598506489614834,am_lru_nw_eps1e-4,14.999999999999996,3.0
0,15.45081954229881,0.8978462815284729,0.8992790579795837,5,0.39014476911051016,14.609855230889485,am_lru_rnw_eps0,14.999999999999996,3.0
1,15.456352645547549,0.5755682587623596,0.5767763257026672,5,0.14014618510970342,14.85985381489029,am_lru_rnw_eps0,14.999999999999996,3.0
5,15.440455961226904,0.520744264125824,0.5214413404464722,5,0.14014618510970342,14.85985381489029,am_lru_rnw_eps0,14.999999999999996,3.0
20,15.400807760519474,0.3963560163974762,0.3957976996898651,5,0.14014618510970342,14.85985381489029,am_lru_rnw_eps0,14.999999999999996,3.0
100,15.378333669041455,0.1423749178647995,0.1427408754825592,5,0.10985239889110328,15.109852398891103,am_lru_rnw_eps0,14.999999999999996,3.0
500,15.324696572469074,0.052703991532325745,0.05009680241346359,5,0.10985239889110328,15.109852398891103,am_lru_rnw_eps0,14.999999999999996,3.0
1000,15.320852943799208,0.05645589157938957,0.053740691393613815,5,0.10985239889110328,15.109852398891103,am_lru_rnw_eps0,14.999999999999996,3.0
2000,15.320801978757704,0.056502293795347214,0.053785450756549835,5,0.10985239889110328,15.109852398891103,am_lru_rnw_eps0,14.999999999999996,3.0
0,15.054980974660998,0.6162704229354858,0.6181329488754272,5,0.39014476911051016,14.609855230889485,am_lru_rnw_eps3e-5,14.999999999999996,3.0
1,15.07678014815295,0.042329248040914536,0.03590305149555206,5,0.10985239889110328,15.109852398891103,am_lru_rnw_eps3e-5,14.999999999999996,3.0
5,15.080258111566222,0.031008023768663406,0.02489766664803028,5,0.10985239889110328,15.109852398891103,am_lru_rnw_eps3e-5,14.999999999999996,3.0
20,15.080131302606306,0.03102080710232258,0.024896960705518723,5,0.10985239889110328,15.109852398891103,am_lru_rnw_eps3e-5,14.999999999999996,3.0
100,15.080131302606306,0.03102080710232258,0.024896960705518723,5,0.10985239889110328,15.109852398891103,am_lru_rnw_eps3e-5,14.999999999999996,3.0
500,15.080131302606306,0.03102080710232258,0.024896960705518723,5,0.10985239889110328,15.109852398891103,am_lru_rnw_eps3e-5,14.999999999999996,3.0
1000,15.080131302606306,0.03102080710232258,0.024896960705518723,5,0.10985239889110328,15.109852398891103,am_lru_rnw_eps3e-5,14.999999999999996,3.0
