job_id,model,topology,seed,selection_regime,bottleneck_h1,bottleneck_h2,bottleneck_mean,bottleneck_mean_over_threshold,detected_h1,detected_h2,expected_h1,expected_h2,finite,h1_persistence_1,h1_persistence_2,h1_persistence_3,h2_persistence_1,h2_persistence_2,horizon,knn_scale,signature_distance,signature_match,zero_knn_fraction,task_success,validation_error
broad__calru__t2__lr0p01_eta1000_i50__seed10,calru,t2,10,topology-specific validation-selected,0.12665802240371704,0.06807291507720947,0.09736546874046326,0.16628725304606548,2,1,2,1,True,1.5286933779716492,1.5214359164237976,0.4510939121246338,1.1044398546218872,0.13614583015441895,4096,0.9226336470012582,0,True,0.0,True,0.004256655462086201
attractor_robust__hc__t2__f2_lr0p01_a0p025_bm0p1_eta1000_i50__seed12,hc,t2,12,topology-specific CA-aware selected,0.10572797060012817,0.057822585105895996,0.08177527785301208,0.139661283380696,2,1,2,1,True,1.5370805859565735,1.5328404903411865,0.45948314666748047,1.1706857681274414,0.13379573822021484,0,1.1464372462709633,0,True,0.0,True,0.03299389034509659
attractor_robust__hc__t2__f2_lr0p01_a0p025_bm0p1_eta1000_i50__seed12,hc,t2,12,topology-specific CA-aware selected,0.1242908239364624,0.052106380462646484,0.08819860219955444,0.15063146587791795,2,1,2,1,True,1.5413763523101807,1.4632747769355774,0.4790305495262146,1.144205093383789,0.12454724311828613,128,1.1702220517027913,0,True,0.0,True,0.03299389034509659
attractor_robust__hc__t2__f2_lr0p01_a0p025_bm0p1_eta1000_i50__seed12,hc,t2,12,topology-specific CA-aware selected,0.21299594640731812,0.241754412651062,0.22737517952919006,0.38832652380640204,3,1,2,1,True,1.463356077671051,1.3194902539253235,0.6305927634239197,0.9545503854751587,0.12141823768615723,512,1.1616785414851645,1,False,0.0,True,0.03299389034509659
attractor_robust__hc__t2__f2_lr0p01_a0p025_bm0p1_eta1000_i50__seed12,hc,t2,12,topology-specific CA-aware selected,0.5458389520645142,0.5855257511138916,0.5656823515892029,0.9661101164433177,7,0,2,1,True,1.3533328771591187,1.0916779041290283,0.8483316898345947,0.31255340576171875,0.2782018184661865,2048,1.0784155113175387,6,False,0.0,True,0.03299389034509659
attractor_robust__hc__t2__f2_lr0p01_a0p025_bm0p1_eta1000_i50__seed12,hc,t2,12,topology-specific CA-aware selected,0.9311352968215942,0.5855257511138916,0.7583305239677429,1.295127537132417,7,0,2,1,True,1.8622705936431885,1.3537824153900146,1.2273750305175781,0.349517822265625,0.31743621826171875,4096,0.7063713854019478,6,False,0.0,True,0.03299389034509659
pilot__rnn__s2__seed10,rnn,s2,10,ring-selected zero-retuning,0.31346607208251953,1.3058854341506958,0.8096757531166077,0.6200205101783631,0,0,0,1,True,0.24777376651763916,0.1449655294418335,0.09980368614196777,0.0,0.0,0,0.25357524008284593,1,False,0.0,False,0.2955823242664337
pilot__rnn__s2__seed10,rnn,s2,10,ring-selected zero-retuning,0.31346607208251953,1.3058854341506958,0.8096757531166077,0.6200205101783631,0,0,0,1,True,0.007673710584640503,0.003024578094482422,0.0,0.0,0.0,128,0.2853056548677094,1,False,0.0,False,0.2955823242664337
pilot__rnn__s2__seed10,rnn,s2,10,ring-selected zero-retuning,1.1012191772460938,1.3058854341506958,1.2035523056983948,0.9216369784238729,1,0,0,1,True,2.2024383544921875,0.6658744812011719,0.0,0.0,0.0,512,0.15651875624943218,2,False,0.0,False,0.2955823242664337
pilot__rnn__s2__seed10,rnn,s2,10,ring-selected zero-retuning,2.6436805725097656,1.3058854341506958,1.9747830033302307,1.5122176507118816,2,0,0,1,True,5.287361145019531,4.63885498046875,0.3072471618652344,0.0,0.0,2048,0.1595271612828561,3,False,0.0,False,0.2955823242664337
pilot__rnn__s2__seed10,rnn,s2,10,ring-selected zero-retuning,1.1421566009521484,1.3058854341506958,1.2240210175514221,0.9373111802472048,1,0,0,1,True,2.284313201904297,0.0,0.0,0.0,0.0,4096,0.14724131361044868,2,False,0.0,False,0.2955823242664337
pilot__gru__s2__seed10,gru,s2,10,ring-selected zero-retuning,0.226809561252594,0.564755916595459,0.3957827389240265,0.3030761570454535,0,1,0,1,True,0.7272546291351318,0.5656600594520569,0.5060808062553406,2.0384914875030518,0.0,0,1.3082310798173538,0,True,0.0,False,0.02658451721072197
pilot__gru__s2__seed10,gru,s2,10,ring-selected zero-retuning,0.637103259563446,1.29107666015625,0.964089959859848,0.7382653444533286,0,1,0,1,True,1.274206519126892,0.8736945986747742,0.6301305294036865,1.62052321434021,0.019588708877563477,128,1.3535824626666721,0,True,0.0,False,0.02658451721072197
pilot__gru__s2__seed10,gru,s2,10,ring-selected zero-retuning,0.5807647109031677,1.3058854341506958,0.9433250725269318,0.722364342121971,0,1,0,1,True,1.1615294218063354,1.1558811664581299,1.0787441730499268,1.3344440460205078,0.0,512,0.9700502351328167,0,True,0.0,False,0.02658451721072197
pilot__gru__s2__seed10,gru,s2,10,ring-selected zero-retuning,3.3004276752471924,1.3058854341506958,2.303156554698944,1.7636742814248787,1,0,0,1,True,6.600855350494385,1.192056655883789,0.8453025817871094,0.0,0.0,2048,0.24696714173201542,2,False,0.0,False,0.02658451721072197
pilot__gru__s2__seed10,gru,s2,10,ring-selected zero-retuning,3.1502227783203125,1.3058854341506958,2.228054106235504,1.706163533162123,2,0,0,1,True,6.300445556640625,3.1984405517578125,0.04964017868041992,0.0,0.0,4096,0.02453988167312056,3,False,0.0,False,0.02658451721072197
pilot__lstm__s2__seed12,lstm,s2,12,ring-selected zero-retuning,0.12426972389221191,0.39170658588409424,0.2579881548881531,0.19755803085125911,0,1,0,1,True,0.60448157787323,0.552006721496582,0.49344635009765625,2.0554319620132446,0.0,0,1.1755775771848667,0,True,0.0,True,0.012160596437752247
pilot__lstm__s2__seed12,lstm,s2,12,ring-selected zero-retuning,0.34990406036376953,0.4970359802246094,0.42347002029418945,0.3242780792402361,0,1,0,1,True,0.8132227659225464,0.5338041186332703,0.47062504291534424,1.992177963256836,0.0,128,1.1968528249724706,0,True,0.0,True,0.012160596437752247
pilot__lstm__s2__seed12,lstm,s2,12,ring-selected zero-retuning,0.698995053768158,1.3058854341506958,1.0024402439594269,0.767632609832562,1,1,0,1,True,1.397990107536316,0.7644531726837158,0.6600141525268555,1.3707151412963867,0.0,512,0.9660168494572836,1,False,0.0,True,0.012160596437752247
pilot__lstm__s2__seed12,lstm,s2,12,ring-selected zero-retuning,2.4279098510742188,1.3058854341506958,1.8668976426124573,1.4296029297750954,2,0,0,1,True,4.8558197021484375,1.7150073051452637,0.6732580661773682,0.2677116394042969,0.048270225524902344,2048,0.39827048289456635,3,False,0.0,True,0.012160596437752247
pilot__lstm__s2__seed12,lstm,s2,12,ring-selected zero-retuning,4.588080406188965,1.3058854341506958,2.9469829201698303,2.2566933079289986,2,0,0,1,True,9.17616081237793,6.356163024902344,1.1226723194122314,0.0,0.0,4096,0.15387229500087213,3,False,0.0,True,0.012160596437752247
broad__calru__s2__lr0p003_eta1000_i50__seed10,calru,s2,10,topology-specific validation-selected,0.23347735404968262,0.26900291442871094,0.2512401342391968,0.19239063984398827,0,1,0,1,True,0.7797526121139526,0.6633850932121277,0.5905276536941528,2.113174796104431,0.011973857879638672,0,0.32332361767863593,0,True,0.0,True,0.02049138955771923
broad__calru__s2__lr0p003_eta1000_i50__seed10,calru,s2,10,topology-specific validation-selected,0.22899842262268066,0.2702920436859131,0.24964523315429688,0.19116932207506993,0,1,0,1,True,0.7790765762329102,0.6555936932563782,0.5924997329711914,2.1152994632720947,0.0,128,0.32152157474866305,0,True,0.0,True,0.02049138955771923
broad__calru__s2__lr0p003_eta1000_i50__seed10,calru,s2,10,topology-specific validation-selected,0.22899842262268066,0.2702920436859131,0.24964523315429688,0.19116932207506993,0,1,0,1,True,0.7790765762329102,0.6555936932563782,0.5924997329711914,2.1152994632720947,0.0,512,0.32152157474865994,0,True,0.0,True,0.02049138955771923
broad__calru__s2__lr0p003_eta1000_i50__seed10,calru,s2,10,topology-specific validation-selected,0.22899842262268066,0.2702920436859131,0.24964523315429688,0.19116932207506993,0,1,0,1,True,0.7790765762329102,0.6555936932563782,0.5924997329711914,2.1152994632720947,0.0,2048,0.32152157474865994,0,True,0.0,True,0.02049138955771923
broad__calru__s2__lr0p003_eta1000_i50__seed10,calru,s2,10,topology-specific validation-selected,0.22899842262268066,0.2702920436859131,0.24964523315429688,0.19116932207506993,0,1,0,1,True,0.7790765762329102,0.6555936932563782,0.5924997329711914,2.1152994632720947,0.0,4096,0.32152157474865994,0,True,0.0,True,0.02049138955771923
refine__hc__s2__lr0p003_a0p05_bm0p3_eta1000_i50__seed10,hc,s2,10,topology-specific CA-aware selected,0.21534454822540283,0.20933008193969727,0.21233731508255005,0.16260026303199188,0,1,0,1,True,0.6916791200637817,0.5699719190597534,0.4955216646194458,2.6284737586975098,0.0,0,0.9598220413291432,0,True,0.0,True,0.021639784798026085
