job_id,model,topology,seed,horizon,threshold_fraction,strong_bar_threshold,expected_h1,expected_h2,detected_h1,detected_h2,signature_match
broad__hc__s1__lr0p01_a0p01_bm0p1_eta1000_i50__seed10,hc,s1,10,2048,0.8,9.17819004058838,1,0,1,0,True
broad__hc__s1__lr0p01_a0p01_bm0p1_eta1000_i50__seed10,hc,s1,10,4096,0.5,5.736368775367737,1,0,1,0,True
broad__hc__s1__lr0p01_a0p01_bm0p1_eta1000_i50__seed10,hc,s1,10,4096,0.65,7.457279407978058,1,0,1,0,True
broad__hc__s1__lr0p01_a0p01_bm0p1_eta1000_i50__seed10,hc,s1,10,4096,0.8,9.17819004058838,1,0,1,0,True
attractor_robust__hc__s1__f2_lr0p01_a0p01_bm0p1_eta1000_i50__seed11,hc,s1,11,0,0.5,5.736368775367737,1,0,1,0,True
attractor_robust__hc__s1__f2_lr0p01_a0p01_bm0p1_eta1000_i50__seed11,hc,s1,11,0,0.65,7.457279407978058,1,0,1,0,True
attractor_robust__hc__s1__f2_lr0p01_a0p01_bm0p1_eta1000_i50__seed11,hc,s1,11,0,0.8,9.17819004058838,1,0,1,0,True
attractor_robust__hc__s1__f2_lr0p01_a0p01_bm0p1_eta1000_i50__seed11,hc,s1,11,128,0.5,5.736368775367737,1,0,1,0,True
attractor_robust__hc__s1__f2_lr0p01_a0p01_bm0p1_eta1000_i50__seed11,hc,s1,11,128,0.65,7.457279407978058,1,0,1,0,True
attractor_robust__hc__s1__f2_lr0p01_a0p01_bm0p1_eta1000_i50__seed11,hc,s1,11,128,0.8,9.17819004058838,1,0,1,0,True
attractor_robust__hc__s1__f2_lr0p01_a0p01_bm0p1_eta1000_i50__seed11,hc,s1,11,512,0.5,5.736368775367737,1,0,1,0,True
attractor_robust__hc__s1__f2_lr0p01_a0p01_bm0p1_eta1000_i50__seed11,hc,s1,11,512,0.65,7.457279407978058,1,0,1,0,True
attractor_robust__hc__s1__f2_lr0p01_a0p01_bm0p1_eta1000_i50__seed11,hc,s1,11,512,0.8,9.17819004058838,1,0,1,0,True
attractor_robust__hc__s1__f2_lr0p01_a0p01_bm0p1_eta1000_i50__seed11,hc,s1,11,2048,0.5,5.736368775367737,1,0,1,0,True
attractor_robust__hc__s1__f2_lr0p01_a0p01_bm0p1_eta1000_i50__seed11,hc,s1,11,2048,0.65,7.457279407978058,1,0,1,0,True
attractor_robust__hc__s1__f2_lr0p01_a0p01_bm0p1_eta1000_i50__seed11,hc,s1,11,2048,0.8,9.17819004058838,1,0,1,0,True
attractor_robust__hc__s1__f2_lr0p01_a0p01_bm0p1_eta1000_i50__seed11,hc,s1,11,4096,0.5,5.736368775367737,1,0,1,0,True
attractor_robust__hc__s1__f2_lr0p01_a0p01_bm0p1_eta1000_i50__seed11,hc,s1,11,4096,0.65,7.457279407978058,1,0,1,0,True
attractor_robust__hc__s1__f2_lr0p01_a0p01_bm0p1_eta1000_i50__seed11,hc,s1,11,4096,0.8,9.17819004058838,1,0,1,0,True
attractor_robust__hc__s1__f2_lr0p01_a0p01_bm0p1_eta1000_i50__seed12,hc,s1,12,0,0.5,5.736368775367737,1,0,1,0,True
attractor_robust__hc__s1__f2_lr0p01_a0p01_bm0p1_eta1000_i50__seed12,hc,s1,12,0,0.65,7.457279407978058,1,0,1,0,True
attractor_robust__hc__s1__f2_lr0p01_a0p01_bm0p1_eta1000_i50__seed12,hc,s1,12,0,0.8,9.17819004058838,1,0,1,0,True
attractor_robust__hc__s1__f2_lr0p01_a0p01_bm0p1_eta1000_i50__seed12,hc,s1,12,128,0.5,5.736368775367737,1,0,1,0,True
attractor_robust__hc__s1__f2_lr0p01_a0p01_bm0p1_eta1000_i50__seed12,hc,s1,12,128,0.65,7.457279407978058,1,0,1,0,True
attractor_robust__hc__s1__f2_lr0p01_a0p01_bm0p1_eta1000_i50__seed12,hc,s1,12,128,0.8,9.17819004058838,1,0,1,0,True
attractor_robust__hc__s1__f2_lr0p01_a0p01_bm0p1_eta1000_i50__seed12,hc,s1,12,512,0.5,5.736368775367737,1,0,1,0,True
attractor_robust__hc__s1__f2_lr0p01_a0p01_bm0p1_eta1000_i50__seed12,hc,s1,12,512,0.65,7.457279407978058,1,0,1,0,True
attractor_robust__hc__s1__f2_lr0p01_a0p01_bm0p1_eta1000_i50__seed12,hc,s1,12,512,0.8,9.17819004058838,1,0,1,0,True
attractor_robust__hc__s1__f2_lr0p01_a0p01_bm0p1_eta1000_i50__seed12,hc,s1,12,2048,0.5,5.736368775367737,1,0,1,0,True
attractor_robust__hc__s1__f2_lr0p01_a0p01_bm0p1_eta1000_i50__seed12,hc,s1,12,2048,0.65,7.457279407978058,1,0,1,0,True
attractor_robust__hc__s1__f2_lr0p01_a0p01_bm0p1_eta1000_i50__seed12,hc,s1,12,2048,0.8,9.17819004058838,1,0,1,0,True
attractor_robust__hc__s1__f2_lr0p01_a0p01_bm0p1_eta1000_i50__seed12,hc,s1,12,4096,0.5,5.736368775367737,1,0,1,0,True
attractor_robust__hc__s1__f2_lr0p01_a0p01_bm0p1_eta1000_i50__seed12,hc,s1,12,4096,0.65,7.457279407978058,1,0,1,0,True
attractor_robust__hc__s1__f2_lr0p01_a0p01_bm0p1_eta1000_i50__seed12,hc,s1,12,4096,0.8,9.17819004058838,1,0,0,0,False
pilot__rnn__t2__seed10,rnn,t2,10,0,0.5,0.5855257511138916,2,1,2,0,False
pilot__rnn__t2__seed10,rnn,t2,10,0,0.65,0.7611834764480591,2,1,1,0,False
pilot__rnn__t2__seed10,rnn,t2,10,0,0.8,0.9368412017822266,2,1,1,0,False
pilot__rnn__t2__seed10,rnn,t2,10,128,0.5,0.5855257511138916,2,1,3,0,False
pilot__rnn__t2__seed10,rnn,t2,10,128,0.65,0.7611834764480591,2,1,1,0,False
pilot__rnn__t2__seed10,rnn,t2,10,128,0.8,0.9368412017822266,2,1,1,0,False
pilot__rnn__t2__seed10,rnn,t2,10,512,0.5,0.5855257511138916,2,1,1,0,False
pilot__rnn__t2__seed10,rnn,t2,10,512,0.65,0.7611834764480591,2,1,1,0,False
pilot__rnn__t2__seed10,rnn,t2,10,512,0.8,0.9368412017822266,2,1,0,0,False
pilot__rnn__t2__seed10,rnn,t2,10,2048,0.5,0.5855257511138916,2,1,4,2,False
pilot__rnn__t2__seed10,rnn,t2,10,2048,0.65,0.7611834764480591,2,1,4,1,False
pilot__rnn__t2__seed10,rnn,t2,10,2048,0.8,0.9368412017822266,2,1,4,0,False
pilot__rnn__t2__seed10,rnn,t2,10,4096,0.5,0.5855257511138916,2,1,3,1,False
pilot__rnn__t2__seed10,rnn,t2,10,4096,0.65,0.7611834764480591,2,1,3,1,False
pilot__rnn__t2__seed10,rnn,t2,10,4096,0.8,0.9368412017822266,2,1,3,1,False
pilot__rnn__t2__seed11,rnn,t2,11,0,0.5,0.5855257511138916,2,1,6,0,False
pilot__rnn__t2__seed11,rnn,t2,11,0,0.65,0.7611834764480591,2,1,4,0,False
pilot__rnn__t2__seed11,rnn,t2,11,0,0.8,0.9368412017822266,2,1,2,0,False
pilot__rnn__t2__seed11,rnn,t2,11,128,0.5,0.5855257511138916,2,1,3,0,False
pilot__rnn__t2__seed11,rnn,t2,11,128,0.65,0.7611834764480591,2,1,2,0,False
pilot__rnn__t2__seed11,rnn,t2,11,128,0.8,0.9368412017822266,2,1,0,0,False
pilot__rnn__t2__seed11,rnn,t2,11,512,0.5,0.5855257511138916,2,1,1,0,False
pilot__rnn__t2__seed11,rnn,t2,11,512,0.65,0.7611834764480591,2,1,1,0,False
pilot__rnn__t2__seed11,rnn,t2,11,512,0.8,0.9368412017822266,2,1,1,0,False
