run_id,paper_task,paper_model,paper_variant,epsilon,legacy_task,legacy_model,legacy_tag,n_seeds,seed_ids,source_pattern,source_files,task_rmse_mean,task_rmse_sd,post_hold_1000_rmse_mean,post_hold_1000_rmse_sd,normal_kick_1x_recovery_500_rmse_mean,normal_kick_1x_recovery_500_rmse_sd,tangent_shift_recovery_500_rmse_mean,tangent_shift_recovery_500_rmse_sd,persistent_coordinate_count_mean,persistent_coordinate_count_sd,retention_sum_mean,retention_sum_sd,trainable_parameter_count_mean,trainable_parameter_count_sd,wall_time_seconds_mean,wall_time_seconds_sd
main.surface_hold.gru,surface_hold,GRU,,,surface_hold,GRU,gru,3,"0,1,2",exp88_manifold_main_results/surface_hold_gru_seed*.json,exp88_manifold_main_results/surface_hold_gru_seed0.json;exp88_manifold_main_results/surface_hold_gru_seed1.json;exp88_manifold_main_results/surface_hold_gru_seed2.json,0.005497541550236444,0.005641112256467669,0.021612496425708134,0.003985176288878135,0.016173618535200756,0.002956315939189263,0.012718173675239086,0.00422021046181627,,,,,36355.0,0.0,1149.765291372935,39.603169894100446
main.surface_hold.lru,surface_hold,LRU,full,,surface_hold,LRU full,lru,3,"0,1,2",exp88_manifold_main_results/surface_hold_lru_seed*.json,exp88_manifold_main_results/surface_hold_lru_seed0.json;exp88_manifold_main_results/surface_hold_lru_seed1.json;exp88_manifold_main_results/surface_hold_lru_seed2.json,0.022413594648241997,0.006999884151890335,0.9688195586204529,0.37416970277309675,0.6705489854017893,0.23522332398990087,0.6685737272103628,0.23580306462781797,15.333333333333334,3.055050463303893,91.44302622477214,0.0752540149982065,57027.0,0.0,4094.252302646637,176.04644091296362
main.surface_hold.lstm,surface_hold,LSTM,,,surface_hold,LSTM,lstm,3,"0,1,2",exp88_manifold_main_results/surface_hold_lstm_seed*.json,exp88_manifold_main_results/surface_hold_lstm_seed0.json;exp88_manifold_main_results/surface_hold_lstm_seed1.json;exp88_manifold_main_results/surface_hold_lstm_seed2.json,0.08100523427128792,0.0447538463112532,0.2966117362181346,0.14377965663173328,0.203836922844251,0.09934980526860487,0.20457404355208078,0.1005226828423423,,,,,46339.0,0.0,1383.675704797109,67.5978595324888
main.surface_hold.ssm,surface_hold,SSM,diagonal,,surface_hold,SSM,ssm,3,"0,1,2",exp88_manifold_main_results/surface_hold_ssm_seed*.json,exp88_manifold_main_results/surface_hold_ssm_seed0.json;exp88_manifold_main_results/surface_hold_ssm_seed1.json;exp88_manifold_main_results/surface_hold_ssm_seed2.json,0.08947914093732834,0.02697459306120799,0.5002767940362295,0.00916718561324593,0.48555197318394977,0.01229033131666164,0.4864957332611084,0.014336988006561868,5.666666666666667,0.5773502691896257,91.24263509114583,0.1634105727309791,7171.0,0.0,1027.5488250255585,11.79325572527668
main.surface_hold.rnn,surface_hold,RNN,tanh,,surface_hold,RNN,rnn,3,"0,1,2",exp88_manifold_main_results/surface_hold_rnn_seed*.json,exp88_manifold_main_results/surface_hold_rnn_seed0.json;exp88_manifold_main_results/surface_hold_rnn_seed1.json;exp88_manifold_main_results/surface_hold_rnn_seed2.json,0.2714426914850871,0.12053910404430261,0.4259915202856064,0.30667581601231914,0.4151070813337962,0.2986518281939794,0.41283085445563,0.2978766483048379,,,,,16387.0,0.0,1105.795292377472,36.852670312286364
main.surface_integrate.ca_lru,surface_integrate,CA-LRU,state-dependent update,3e-5,surface_integrate,PAN-RNW-full,am_lru_rnw_eps3e-5,3,"0,1,2",exp88_writer_sweep_results/surface_integrate_am_lru_rnw_eps3e-5_seed*.json,exp88_writer_sweep_results/surface_integrate_am_lru_rnw_eps3e-5_seed0.json;exp88_writer_sweep_results/surface_integrate_am_lru_rnw_eps3e-5_seed1.json;exp88_writer_sweep_results/surface_integrate_am_lru_rnw_eps3e-5_seed2.json,0.00805710939069589,0.0017732041435312128,0.00805710939069589,0.0017732041435312128,0.023316414405902226,0.0011032521009716881,0.007959841284900904,0.001479919406841982,4.333333333333333,0.5773502691896257,17.329853693644207,0.3477322573822227,57123.0,0.0,7437.690596262614,2306.029414502917
main.surface_integrate.gru,surface_integrate,GRU,,,surface_integrate,GRU,gru,3,"0,1,2",exp88_manifold_main_results/surface_integrate_gru_seed*.json,exp88_manifold_main_results/surface_integrate_gru_seed0.json;exp88_manifold_main_results/surface_integrate_gru_seed1.json;exp88_manifold_main_results/surface_integrate_gru_seed2.json,0.01677146243552367,0.008964050593187433,0.08644833291570346,0.04088540965851661,0.05246664583683014,0.026337006795782398,0.049828230092922844,0.02786905555587282,,,,,36355.0,0.0,7000.9267429510755,4624.406988315728
main.surface_integrate.lru,surface_integrate,LRU,full,,surface_integrate,LRU full,lru,3,"0,1,2",exp88_manifold_main_results/surface_integrate_lru_seed*.json,exp88_manifold_main_results/surface_integrate_lru_seed0.json;exp88_manifold_main_results/surface_integrate_lru_seed1.json;exp88_manifold_main_results/surface_integrate_lru_seed2.json,0.09404805799325307,0.0031441293450249993,0.5714315176010132,0.15310489238439925,0.4866574505964915,0.13472256140755642,0.48404544591903687,0.13404484601414726,20.0,4.358898943540674,90.54095713297527,0.6319233462409859,57027.0,0.0,8660.238359769186,3862.2650051062124
main.surface_integrate.lstm,surface_integrate,LSTM,,,surface_integrate,LSTM,lstm,3,"0,1,2",exp88_manifold_main_results/surface_integrate_lstm_seed*.json,exp88_manifold_main_results/surface_integrate_lstm_seed0.json;exp88_manifold_main_results/surface_integrate_lstm_seed1.json;exp88_manifold_main_results/surface_integrate_lstm_seed2.json,0.06024254113435745,0.025882199677138347,0.20805130898952484,0.08082122137910752,0.14632551868756613,0.05860328527303524,0.14577713857094446,0.05548591132363934,,,,,46339.0,0.0,7031.806961933772,4202.052072491081
main.surface_integrate.ssm,surface_integrate,SSM,diagonal,,surface_integrate,SSM,ssm,3,"0,1,2",exp88_manifold_main_results/surface_integrate_ssm_seed*.json,exp88_manifold_main_results/surface_integrate_ssm_seed0.json;exp88_manifold_main_results/surface_integrate_ssm_seed1.json;exp88_manifold_main_results/surface_integrate_ssm_seed2.json,0.07519775504867236,0.020069961320918324,0.5428352554639181,0.036938949189250454,0.41157083710034686,0.02076941031004369,0.4096617003281911,0.019656840056408654,7.333333333333333,1.1547005383792515,92.36468251546223,0.18079145430340618,7171.0,0.0,6621.187174956004,4201.929076141189
main.surface_integrate.rnn,surface_integrate,RNN,tanh,,surface_integrate,RNN,rnn,3,"0,1,2",exp88_manifold_main_results/surface_integrate_rnn_seed*.json,exp88_manifold_main_results/surface_integrate_rnn_seed0.json;exp88_manifold_main_results/surface_integrate_rnn_seed1.json;exp88_manifold_main_results/surface_integrate_rnn_seed2.json,0.27006998658180237,0.011288911630079777,0.27006959915161133,0.01128852610525513,0.27006959915161133,0.01128852610525513,0.26998961965243023,0.01133498700688257,,,,,16387.0,0.0,7440.400993188222,5428.58887176874
