topology,model,model_label,horizon,seed_count,signature_match_count,signature_match_fraction,expected_h1,expected_h2,knn_scale_median,knn_scale_min,knn_scale_max,zero_knn_fraction_median,zero_knn_fraction_min,zero_knn_fraction_max,detected_h1_median,detected_h1_min,detected_h1_max,detected_h2_median,detected_h2_min,detected_h2_max,signature_distance_median,signature_distance_min,signature_distance_max,bottleneck_h1_median,bottleneck_h1_min,bottleneck_h1_max,bottleneck_h2_median,bottleneck_h2_min,bottleneck_h2_max,bottleneck_mean_median,bottleneck_mean_min,bottleneck_mean_max,bottleneck_mean_over_threshold_median,bottleneck_mean_over_threshold_min,bottleneck_mean_over_threshold_max,h1_persistence_1_median,h1_persistence_1_min,h1_persistence_1_max,h1_persistence_2_median,h1_persistence_2_min,h1_persistence_2_max,h1_persistence_3_median,h1_persistence_3_min,h1_persistence_3_max,h2_persistence_1_median,h2_persistence_1_min,h2_persistence_1_max,h2_persistence_2_median,h2_persistence_2_min,h2_persistence_2_max
t2,rnn,RNN,0,3,0,0.0,2,1,1.1614208362138276,0.8272489041975621,1.5372518283124625,0.0,0.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0,1.0,1.0,5.0,0.7623858451843262,0.6813055276870728,1.5214803814888,0.5855257511138916,0.5855257511138916,0.5855257511138916,0.6739557981491089,0.6334156394004822,1.0535030663013458,1.151026742832386,1.0817895510069129,1.799242927056896,1.1139417886734009,1.1110751628875732,3.0429607629776,0.8711377382278442,0.6688436269760132,0.9710463285446167,0.4787559509277344,0.32220637798309326,0.8836946487426758,0.13038182258605957,0.07699108123779297,0.3341503143310547,0.10693132877349854,0.07221746444702148,0.3152322769165039
t2,rnn,RNN,128,3,0,0.0,2,1,1.347087307640149,0.6830341613557056,1.3783978880376822,0.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,2.0,1.0,2.0,0.7989005148410797,0.6647342443466187,2.430661916732788,0.5855257511138916,0.5855257511138916,0.5855257511138916,0.6922131329774857,0.6251299977302551,1.5080938339233398,1.1822078391268604,1.067638778552474,2.575623413751444,1.2752717733383179,0.7919784784317017,4.861323833465576,0.7624017000198364,0.7243499755859375,0.8282158374786377,0.6627669334411621,0.4920438528060913,0.6743998527526855,0.2618093490600586,0.22843027114868164,0.35776805877685547,0.19742894172668457,0.16553354263305664,0.3064565658569336
t2,rnn,RNN,512,3,0,0.0,2,1,1.3164512985611674,0.6752705795115805,1.6283786834026461,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,2.0,2.0,3.0,0.6743139624595642,0.6624730825424194,1.088536262512207,0.5855257511138916,0.5855257511138916,0.5855257511138916,0.6299198567867279,0.6239994168281555,0.8370310068130493,1.0758192198863703,1.0657078969474398,1.429537480154715,1.1072219610214233,0.8895421028137207,2.177072525024414,0.5616476535797119,0.4049644470214844,1.2219429016113281,0.4133918285369873,0.39565205574035645,0.930018424987793,0.22421884536743164,0.17216801643371582,0.2621173858642578,0.079498291015625,0.05919468402862549,0.1661677360534668
t2,rnn,RNN,2048,3,0,0.0,2,1,0.5971376170300382,0.4216309498697628,0.7628882134325045,0.0,0.0,0.0,4.0,2.0,4.0,0.0,0.0,2.0,3.0,1.0,3.0,1.6423195600509644,0.6462281942367554,1.9511459469795227,0.5855257511138916,0.5774815082550049,0.5855257511138916,1.113922655582428,0.6118548512458801,1.2683358490467072,1.9024315386015482,1.0449665963997323,2.1661487076082517,3.2846391201019287,1.142906129360199,3.9022918939590454,0.9322545528411865,0.6959333419799805,2.2473578453063965,0.8566256761550903,0.3276233673095703,1.9719290733337402,0.14985990524291992,0.1414794921875,0.8590335845947266,0.14871931076049805,0.13823986053466797,0.6754574775695801
t2,gru,GRU,0,3,2,0.6666666666666666,2,1,1.6951283654251186,1.6896151689337993,1.7061668078796774,0.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.1251842975616455,0.10897183418273926,0.15736377239227295,0.07558679580688477,0.06626236438751221,0.16495203971862793,0.09572333097457886,0.09227931499481201,0.16115790605545044,0.16348270044908675,0.15760077984488613,0.2752362398218475,1.5800243020057678,1.5741591453552246,1.5968010425567627,1.5117872953414917,1.4296324253082275,1.5720763802528381,0.42282432317733765,0.39256083965301514,0.5937809348106384,1.1378355026245117,0.9843142032623291,1.1687957048416138,0.13252472877502441,0.12491559982299805,0.15181636810302734
t2,gru,GRU,128,3,2,0.6666666666666666,2,1,1.7151889063373589,1.6976274422285036,1.7199564744378883,0.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.17531335353851318,0.13064467906951904,0.26077795028686523,0.1449195146560669,0.06432938575744629,0.285007119178772,0.16011643409729004,0.09748703241348267,0.2728925347328186,0.27345754442513925,0.1664948676091964,0.46606410429203793,1.6208648681640625,1.5821208357810974,1.6645958423614502,1.5488963723182678,1.5184646248817444,1.561187982559204,0.49538588523864746,0.4751860499382019,0.594013512134552,1.067327618598938,0.9489229917526245,1.0946301221847534,0.1313939094543457,0.12865877151489258,0.1479017734527588
t2,gru,GRU,512,3,0,0.0,2,1,1.5729461568300167,1.414579627322484,1.5785197884965791,0.0,0.0,0.0,4.0,4.0,5.0,1.0,0.0,1.0,2.0,2.0,4.0,0.49966397881507874,0.3680322766304016,0.5954990386962891,0.5855257511138916,0.5855257511138916,0.5855257511138916,0.5425948649644852,0.4767790138721466,0.5905123949050903,0.9266797641816169,0.8142750561612917,1.0085165234521491,1.7681629657745361,1.7116632461547852,1.7810134887695312,1.5903713703155518,1.5044714212417603,1.6874498128890991,0.9993279576301575,0.7360645532608032,1.165114402770996,0.6139371395111084,0.42592358589172363,0.79994797706604,0.19574308395385742,0.1593186855316162,0.2164623737335205
t2,gru,GRU,2048,3,0,0.0,2,1,0.6990509104795886,0.4708776445701217,0.9611075208772782,0.0,0.0,0.0,5.0,4.0,8.0,1.0,0.0,1.0,3.0,3.0,6.0,1.3573005199432373,1.2150508761405945,1.6259753704071045,0.5855257511138916,0.5855257511138916,0.8224520683288574,0.9714131355285645,0.900288313627243,1.224213719367981,1.6590442583960978,1.5375725353061824,2.0907939864968585,2.7146010398864746,2.430101752281189,3.251950740814209,2.0003576278686523,1.9062163829803467,2.247795343399048,1.8461236953735352,0.6794939041137695,1.8626813888549805,0.8066596984863281,0.5672664642333984,1.6449041366577148,0.28177928924560547,0.11003637313842773,0.5103144645690918
t2,lstm,LSTM,0,3,3,1.0,2,1,1.571780470911851,1.5500550874056234,1.6062443766335979,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.1570364236831665,0.13086509704589844,0.19193807244300842,0.10228419303894043,0.05501151084899902,0.16568660736083984,0.12966030836105347,0.09293830394744873,0.17881233990192413,0.22144253794882715,0.15872624520893386,0.3053876615362439,1.5042595863342285,1.4492058157920837,1.5325945615768433,1.445163071155548,1.4442369937896729,1.4506118893623352,0.4726996421813965,0.47141051292419434,0.5348125696182251,1.0382208824157715,0.933110237121582,1.0676020383834839,0.11341047286987305,0.11002302169799805,0.14175963401794434
t2,lstm,LSTM,128,3,2,0.6666666666666666,2,1,1.553593129267921,1.5230845532762411,1.5702884483100625,0.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.276109516620636,0.16290497779846191,0.28034842014312744,0.29100072383880615,0.24291718006134033,0.30175960063934326,0.2856745719909668,0.20291107892990112,0.2889345586299896,0.48789412156084616,0.3465450982196555,0.4934617445608955,1.4899689555168152,1.481945514678955,1.5766328573226929,1.4031787514686584,1.3971059322357178,1.5759838819503784,0.5614978671073914,0.47823458909988403,0.7529515027999878,0.9484034776687622,0.8594528436660767,0.9666100740432739,0.12359952926635742,0.10528063774108887,0.12595343589782715
