job_id,model,model_label,topology,seed,task_success,validation_error,selection_regime,component_mse,condition_axis,condition_id,condition_label,condition_value,divergence_step,dwell_profile,dwell_step_mean_error_radians,finite,gp_length_scale,hold_baseline_mean_error_radians,horizon,last_quarter_mean_error_radians,moving_step_mean_error_radians,output_norm_absolute_error,post_blank_0_mean_error_radians,post_blank_0_median_error_radians,post_blank_1024_mean_error_radians,post_blank_1024_median_error_radians,post_blank_128_mean_error_radians,post_blank_128_median_error_radians,post_blank_1536_mean_error_radians,post_blank_1536_median_error_radians,post_blank_2048_mean_error_radians,post_blank_2048_median_error_radians,post_blank_256_mean_error_radians,post_blank_256_median_error_radians,post_blank_4096_mean_error_radians,post_blank_4096_median_error_radians,post_blank_512_mean_error_radians,post_blank_512_median_error_radians,post_blank_768_mean_error_radians,post_blank_768_median_error_radians,sequence_mean_error_radians,terminal_mean_error_radians,trial_median_error_radians,trial_p90_error_radians,velocity_scale
refine__calru__s1__lr0p01_eta1000_i50__seed11,calru,CA-LRU,s1,11,True,0.014823663979768753,topology-specific validation-selected,0.021400567144155502,length,length_h768,T=768,768,,variable_sparsity,0.08275870978832245,True,1.0,1.4691219329833984,768,0.19812655448913574,0.13952051103115082,0.018777314573526382,0.2222931832075119,0.1398792266845703,,,,,,,,,,,,,0.22438809275627136,0.14488863945007324,,,0.12560030817985535,0.2222931832075119,0.08746148645877838,0.22110627591609955,1.0
refine__calru__s1__lr0p01_eta1000_i50__seed11,calru,CA-LRU,s1,11,True,0.014823663979768753,topology-specific validation-selected,0.001125967362895608,velocity,velocity_x0p5,0.5x,0.5,,variable_sparsity,0.034012626856565475,True,1.0,1.0554780960083008,128,0.044296327978372574,0.0410594642162323,0.004434733651578426,0.046102724969387054,0.040727853775024414,,,,,,,,,,,,,0.04619617015123367,0.041673898696899414,,,0.03932484984397888,0.046102724969387054,0.037720710039138794,0.06937438249588013,0.5
refine__calru__s1__lr0p01_eta1000_i50__seed11,calru,CA-LRU,s1,11,True,0.014823663979768753,topology-specific validation-selected,0.0014019925147294998,velocity,velocity_x0p75,0.75x,0.75,,variable_sparsity,0.03571506589651108,True,1.0,1.1730176210403442,128,0.05144660919904709,0.04521741718053818,0.004448648542165756,0.05607946217060089,0.04752802848815918,,,,,,,,,,,,,0.0567617304623127,0.048578739166259766,,,0.04287836700677872,0.05607946217060089,0.038645461201667786,0.07783007621765137,0.75
refine__calru__s1__lr0p01_eta1000_i50__seed11,calru,CA-LRU,s1,11,True,0.014823663979768753,topology-specific validation-selected,0.005603811703622341,velocity,velocity_x1p25,1.25x,1.25,,variable_sparsity,0.04644239693880081,True,1.0,1.2791684865951538,128,0.08336855471134186,0.06614531576633453,0.0075740208849310875,0.0899556577205658,0.05781650170683861,,,,,,,,,,,,,0.09181658923625946,0.06007981300354004,,,0.06129534915089607,0.0899556577205658,0.04330255091190338,0.09700462222099304,1.25
refine__calru__s1__lr0p01_eta1000_i50__seed11,calru,CA-LRU,s1,11,True,0.014823663979768753,topology-specific validation-selected,0.011679336428642273,velocity,velocity_x1p5,1.5x,1.5,,variable_sparsity,0.06069581210613251,True,1.0,1.3258905410766602,128,0.11799697577953339,0.08974453806877136,0.01132748369127512,0.1366683393716812,0.06924796104431152,,,,,,,,,,,,,0.13005538284778595,0.0710303783416748,,,0.08259405195713043,0.1366683393716812,0.05192720144987106,0.10813448578119278,1.5
refine__calru__s1__lr0p01_eta1000_i50__seed11,calru,CA-LRU,s1,11,True,0.014823663979768753,topology-specific validation-selected,0.040656913071870804,velocity,velocity_x2,2x,2.0,,variable_sparsity,0.124005526304245,True,1.0,1.3806934356689453,128,0.22790014743804932,0.16611017286777496,0.02228645607829094,0.24805450439453125,0.08490109443664551,,,,,,,,,,,,,0.2522317171096802,0.08550763130187988,,,0.15574589371681213,0.24805450439453125,0.06322173774242401,0.33401811122894287,2.0
refine__calru__s1__lr0p01_eta1000_i50__seed11,calru,CA-LRU,s1,11,True,0.014823663979768753,topology-specific validation-selected,0.15083041787147522,velocity,velocity_x3,3x,3.0,,variable_sparsity,0.312978059053421,True,1.0,1.4375741481781006,128,0.5223844647407532,0.3844977915287018,0.04664862900972366,0.5722323656082153,0.1557631492614746,,,,,,,,,,,,,0.5831446051597595,0.16381405293941498,,,0.36689287424087524,0.5722323656082153,0.11782786250114441,1.164222240447998,3.0
refine__calru__s1__lr0p01_eta1000_i50__seed11,calru,CA-LRU,s1,11,True,0.014823663979768753,topology-specific validation-selected,0.27742499113082886,velocity,velocity_x4,4x,4.0,,variable_sparsity,0.5315619111061096,True,1.0,1.463205099105835,128,0.7965929508209229,0.5959361791610718,0.060095567256212234,0.8541406393051147,0.4748241901397705,,,,,,,,,,,,,0.8347064852714539,0.4576115608215332,,,0.5800901651382446,0.8541406393051147,0.28498777747154236,1.5701732635498047,4.0
refine__calru__s1__lr0p01_eta1000_i50__seed12,calru,CA-LRU,s1,12,True,0.018189657479524612,topology-specific validation-selected,0.0019274429650977254,smoothness,correlation_x0p5,ell=0.5x,0.5,,variable_sparsity,0.03382467105984688,True,0.5,1.2179415225982666,128,0.06333853304386139,0.05253056436777115,0.006289791315793991,0.0671648383140564,0.0546572208404541,,,,,,,,,,,,,0.06744039058685303,0.055605173110961914,,,0.04792601615190506,0.0671648383140564,0.03821339085698128,0.09007246792316437,1.0
refine__calru__s1__lr0p01_eta1000_i50__seed12,calru,CA-LRU,s1,12,True,0.018189657479524612,topology-specific validation-selected,0.002201245166361332,smoothness,correlation_x0p75,ell=0.75x,0.75,,variable_sparsity,0.035771846771240234,True,0.75,1.2373747825622559,128,0.06882114708423615,0.05548136681318283,0.00633102934807539,0.07419838011264801,0.053176168352365494,,,,,,,,,,,,,0.07332491874694824,0.05424023047089577,,,0.05062977224588394,0.07419838011264801,0.03911684453487396,0.09309358149766922,1.0
refine__calru__s1__lr0p01_eta1000_i50__seed12,calru,CA-LRU,s1,12,True,0.018189657479524612,topology-specific validation-selected,0.0027852868661284447,smoothness,correlation_x1p5,ell=1.5x,1.5,,variable_sparsity,0.0382988378405571,True,1.5,1.2451282739639282,128,0.08233299851417542,0.0623796284198761,0.0064242323860526085,0.08953458070755005,0.07102847099304199,,,,,,,,,,,,,0.08874078840017319,0.0707545280456543,,,0.05645202100276947,0.08953458070755005,0.04597816616296768,0.10462092608213425,1.0
refine__calru__s1__lr0p01_eta1000_i50__seed12,calru,CA-LRU,s1,12,True,0.018189657479524612,topology-specific validation-selected,0.002925023902207613,smoothness,correlation_x2,ell=2x,2.0,,variable_sparsity,0.03875972703099251,True,2.0,1.252528429031372,128,0.08578178286552429,0.06398418545722961,0.006461034528911114,0.09387482702732086,0.07518982887268066,,,,,,,,,,,,,0.09322401881217957,0.0737905502319336,,,0.057775065302848816,0.09387482702732086,0.047137849032878876,0.10820168256759644,1.0
refine__calru__s1__lr0p01_eta1000_i50__seed12,calru,CA-LRU,s1,12,True,0.018189657479524612,topology-specific validation-selected,0.0029937876388430595,smoothness,correlation_x3,ell=3x,3.0,,variable_sparsity,0.03909829258918762,True,3.0,1.257981538772583,128,0.08756573498249054,0.06493290513753891,0.006504903547465801,0.09629238396883011,0.0800020694732666,,,,,,,,,,,,,0.09487982094287872,0.0801393985748291,,,0.05857359245419502,0.09629238396883011,0.04947853833436966,0.10844583809375763,1.0
refine__calru__s1__lr0p01_eta1000_i50__seed12,calru,CA-LRU,s1,12,True,0.018189657479524612,topology-specific validation-selected,0.0030193221755325794,smoothness,correlation_x4,ell=4x,4.0,,variable_sparsity,0.03916669264435768,True,4.0,1.278252363204956,128,0.08860738575458527,0.06554734706878662,0.006418557837605476,0.09787812829017639,0.08240628242492676,,,,,,,,,,,,,0.09627743065357208,0.07933901995420456,,,0.059053629636764526,0.09787812829017639,0.05133096128702164,0.10780860483646393,1.0
refine__calru__s1__lr0p01_eta1000_i50__seed12,calru,CA-LRU,s1,12,True,0.018189657479524612,topology-specific validation-selected,0.00036806086427532136,dwell,dwell_block128,all blank 128,128,,all_blank,0.02607889659702778,True,1.0,0.0,128,0.025430522859096527,,0.0025836285203695297,0.02543022856116295,0.02577042579650879,,,,,,,,,,,,,0.02543013170361519,0.02577042579650879,,,0.02607889659702778,0.02543022856116295,0.025968072935938835,0.03413265198469162,1.0
refine__calru__s1__lr0p01_eta1000_i50__seed12,calru,CA-LRU,s1,12,True,0.018189657479524612,topology-specific validation-selected,0.0014663728652521968,dwell,dwell_block32,blank block 32,32,,variable_sparsity,0.03916601091623306,True,1.0,1.2173771858215332,128,0.05384039133787155,0.04638199508190155,0.005436533130705357,0.05893582105636597,0.04593777656555176,,,,,,,,,,,,,0.057707495987415314,0.04508090019226074,,,0.04324173927307129,0.05893582105636597,0.03698699176311493,0.07779083400964737,1.0
refine__calru__s1__lr0p01_eta1000_i50__seed12,calru,CA-LRU,s1,12,True,0.018189657479524612,topology-specific validation-selected,0.0009274358744733036,dwell,dwell_block64,blank block 64,64,,variable_sparsity,0.03454551845788956,True,1.0,1.1519736051559448,128,0.03860259801149368,0.036927465349435806,0.00451652379706502,0.04244296997785568,0.03406023979187012,,,,,,,,,,,,,0.042815737426280975,0.03444409370422363,,,0.035442452877759933,0.04244296997785568,0.030932936817407608,0.06903839111328125,1.0
refine__calru__s1__lr0p01_eta1000_i50__seed12,calru,CA-LRU,s1,12,True,0.018189657479524612,topology-specific validation-selected,0.002171793021261692,dwell,dwell_block8,blank block 8,8,,variable_sparsity,0.039471689611673355,True,1.0,1.2458138465881348,128,0.06914271414279938,0.055297523736953735,0.006117622833698988,0.07505723088979721,0.06075858697295189,,,,,,,,,,,,,0.07426363229751587,0.059726715087890625,,,0.05065621808171272,0.07505723088979721,0.03980184346437454,0.0945858284831047,1.0
refine__calru__s1__lr0p01_eta1000_i50__seed12,calru,CA-LRU,s1,12,True,0.018189657479524612,topology-specific validation-selected,0.0005657975561916828,dwell,dwell_block96,blank block 96,96,,variable_sparsity,0.028483744710683823,True,1.0,0.8450865149497986,128,0.028818530961871147,0.030282100662589073,0.0033737642224878073,0.03148156777024269,0.026666879653930664,,,,,,,,,,,,,0.030461851507425308,0.02680659294128418,,,0.028823023661971092,0.03148156777024269,0.027199406176805496,0.05001778155565262,1.0
refine__calru__s1__lr0p01_eta1000_i50__seed12,calru,CA-LRU,s1,12,True,0.018189657479524612,topology-specific validation-selected,0.0024503672029823065,id,id_h128,ID T=128,128,,variable_sparsity,0.03692878782749176,True,1.0,1.2498135566711426,128,0.07403827458620071,0.058370016515254974,0.006323166657239199,0.08009782433509827,0.06357264518737793,0.07909870147705078,0.06214570999145508,0.07909871637821198,0.06214570999145508,0.07909870147705078,0.06214570999145508,0.07909870147705078,0.06214570999145508,0.07909870147705078,0.06214570999145508,0.07909870147705078,0.06214570999145508,0.07909870147705078,0.06214570999145508,0.07909870147705078,0.06214570999145508,0.05309215933084488,0.08009782433509827,0.04057539999485016,0.0979820042848587,1.0
refine__calru__s1__lr0p01_eta1000_i50__seed12,calru,CA-LRU,s1,12,True,0.018189657479524612,topology-specific validation-selected,0.025580469518899918,length,length_h1024,T=1024,1024,,variable_sparsity,0.09141798317432404,True,1.0,1.4843645095825195,1024,0.23924028873443604,0.17559559643268585,0.03256703168153763,0.29593682289123535,0.1851656436920166,,,,,,,,,,,,,0.30048462748527527,0.18791699409484863,,,0.15497218072414398,0.29593682289123535,0.13830646872520447,0.27039849758148193,1.0
refine__calru__s1__lr0p01_eta1000_i50__seed12,calru,CA-LRU,s1,12,True,0.018189657479524612,topology-specific validation-selected,0.06642042845487595,length,length_h1536,T=1536,1536,,variable_sparsity,0.13293498754501343,True,1.0,1.513397216796875,1536,0.4373568892478943,0.2747271656990051,0.04876076802611351,0.5359736680984497,0.2921164035797119,,,,,,,,,,,,,0.5326035618782043,0.28683996200561523,,,0.23993037641048431,0.5359736680984497,0.16936932504177094,0.5389865040779114,1.0
refine__calru__s1__lr0p01_eta1000_i50__seed12,calru,CA-LRU,s1,12,True,0.018189657479524612,topology-specific validation-selected,0.0038483263924717903,length,length_h192,T=192,192,,variable_sparsity,0.04244223237037659,True,1.0,1.3154425621032715,192,0.09194778650999069,0.07271388173103333,0.00820432510226965,0.09761044383049011,0.07606911659240723,,,,,,,,,,,,,0.09637343138456345,0.0789041519165039,,,0.06530856341123581,0.09761044383049011,0.049975067377090454,0.1198786050081253,1.0
refine__calru__s1__lr0p01_eta1000_i50__seed12,calru,CA-LRU,s1,12,True,0.018189657479524612,topology-specific validation-selected,0.11844649910926819,length,length_h2048,T=2048,2048,,variable_sparsity,0.17347583174705505,True,1.0,1.5195776224136353,2048,0.6500303745269775,0.39734598994255066,0.06592923402786255,0.7832270860671997,0.464092493057251,,,,,,,,,,,,,0.7830248475074768,0.4655907154083252,,,0.34245535731315613,0.7832270860671997,0.23127883672714233,0.7756925821304321,1.0
refine__calru__s1__lr0p01_eta1000_i50__seed12,calru,CA-LRU,s1,12,True,0.018189657479524612,topology-specific validation-selected,0.005230231210589409,length,length_h256,T=256,256,,variable_sparsity,0.04704800248146057,True,1.0,1.345548152923584,256,0.10687433183193207,0.08499973267316818,0.010171931236982346,0.11635669320821762,0.09786629676818848,,,,,,,,,,,,,0.11491262912750244,0.09746527671813965,,,0.07569999992847443,0.11635669320821762,0.059966079890728,0.14893928170204163,1.0
refine__calru__s1__lr0p01_eta1000_i50__seed12,calru,CA-LRU,s1,12,True,0.018189657479524612,topology-specific validation-selected,0.008199376985430717,length,length_h384,T=384,384,,variable_sparsity,0.05654595419764519,True,1.0,1.399122953414917,384,0.13641409575939178,0.10700619965791702,0.014380651526153088,0.14542829990386963,0.12453365325927734,,,,,,,,,,,,,0.14352533221244812,0.11737418174743652,,,0.0946226418018341,0.14542829990386963,0.08033395558595657,0.17526233196258545,1.0
refine__calru__s1__lr0p01_eta1000_i50__seed12,calru,CA-LRU,s1,12,True,0.018189657479524612,topology-specific validation-selected,0.010623663663864136,length,length_h512,T=512,512,,variable_sparsity,0.06396424770355225,True,1.0,1.435025930404663,512,0.14769238233566284,0.12215965241193771,0.018219852820038795,0.15188176929950714,0.1290290355682373,,,,,,,,,,,,,0.15289948880672455,0.13505887985229492,,,0.1078900694847107,0.15188176929950714,0.09015023708343506,0.20320995151996613,1.0
refine__calru__s1__lr0p01_eta1000_i50__seed12,calru,CA-LRU,s1,12,True,0.018189657479524612,topology-specific validation-selected,0.015250319615006447,length,length_h768,T=768,768,,variable_sparsity,0.07576820999383926,True,1.0,1.4691219329833984,768,0.16900202631950378,0.14349111914634705,0.025406181812286377,0.19156089425086975,0.14337468147277832,,,,,,,,,,,,,0.19214175641536713,0.14415407180786133,,,0.12688280642032623,0.19156089425086975,0.11419950425624847,0.23306989669799805,1.0
refine__calru__s1__lr0p01_eta1000_i50__seed12,calru,CA-LRU,s1,12,True,0.018189657479524612,topology-specific validation-selected,0.0011408475693315268,velocity,velocity_x0p5,0.5x,0.5,,variable_sparsity,0.030103422701358795,True,1.0,1.0554780960083008,128,0.04825945571064949,0.0408204086124897,0.0036848122254014015,0.051105204969644547,0.03546547889709473,,,,,,,,,,,,,0.05111069977283478,0.037372589111328125,,,0.038182370364665985,0.051105204969644547,0.033003129065036774,0.07254667580127716,0.5
refine__calru__s1__lr0p01_eta1000_i50__seed12,calru,CA-LRU,s1,12,True,0.018189657479524612,topology-specific validation-selected,0.0017246091738343239,velocity,velocity_x0p75,0.75x,0.75,,variable_sparsity,0.033934980630874634,True,1.0,1.1730176210403442,128,0.06117347627878189,0.04975704848766327,0.00475480780005455,0.06605853140354156,0.05020904541015625,,,,,,,,,,,,,0.06543511897325516,0.04960894584655762,,,0.04586237668991089,0.06605853140354156,0.03630790114402771,0.08653460443019867,0.75
refine__calru__s1__lr0p01_eta1000_i50__seed12,calru,CA-LRU,s1,12,True,0.018189657479524612,topology-specific validation-selected,0.0034331544302403927,velocity,velocity_x1p25,1.25x,1.25,,variable_sparsity,0.04092628136277199,True,1.0,1.2791684865951538,128,0.08761072158813477,0.06715865433216095,0.009028931148350239,0.09565871953964233,0.07657241821289062,,,,,,,,,,,,,0.09297262132167816,0.07373785972595215,,,0.06070142984390259,0.09565871953964233,0.04941457509994507,0.11036260426044464,1.25
refine__calru__s1__lr0p01_eta1000_i50__seed12,calru,CA-LRU,s1,12,True,0.018189657479524612,topology-specific validation-selected,0.005557208321988583,velocity,velocity_x1p5,1.5x,1.5,,variable_sparsity,0.04558878391981125,True,1.0,1.3258905410766602,128,0.10515551269054413,0.07683451473712921,0.014018653891980648,0.11552376300096512,0.08214259147644043,,,,,,,,,,,,,0.1182464063167572,0.08084297180175781,,,0.06914322823286057,0.11552376300096512,0.05552605539560318,0.12396552413702011,1.5
refine__calru__s1__lr0p01_eta1000_i50__seed12,calru,CA-LRU,s1,12,True,0.018189657479524612,topology-specific validation-selected,0.019714325666427612,velocity,velocity_x2,2x,2.0,,variable_sparsity,0.08609989285469055,True,1.0,1.3806934356689453,128,0.16412465274333954,0.11792571097612381,0.030632618814706802,0.18993481993675232,0.10379791259765625,,,,,,,,,,,,,0.1974990963935852,0.10321664810180664,,,0.11009162664413452,0.18993481993675232,0.06593160331249237,0.16710130870342255,2.0
refine__calru__s1__lr0p01_eta1000_i50__seed12,calru,CA-LRU,s1,12,True,0.018189657479524612,topology-specific validation-selected,0.08819223195314407,velocity,velocity_x3,3x,3.0,,variable_sparsity,0.227761909365654,True,1.0,1.4375741481781006,128,0.387946754693985,0.29432588815689087,0.08831856399774551,0.47431090474128723,0.16149187088012695,,,,,,,,,,,,,0.4881031811237335,0.17763924598693848,,,0.27794086933135986,0.47431090474128723,0.09627184271812439,0.9971015453338623,3.0
refine__calru__s1__lr0p01_eta1000_i50__seed12,calru,CA-LRU,s1,12,True,0.018189657479524612,topology-specific validation-selected,0.16723255813121796,velocity,velocity_x4,4x,4.0,,variable_sparsity,0.3940289318561554,True,1.0,1.463205099105835,128,0.6260102987289429,0.4895295202732086,0.15296149253845215,0.6768977642059326,0.21404312551021576,,,,,,,,,,,,,0.6751010417938232,0.20075583457946777,,,0.4660215973854065,0.6768977642059326,0.14358162879943848,1.4570345878601074,4.0
pilot__rnn__t2__seed10,rnn,RNN,t2,10,False,0.08156989514827728,ring-selected zero-retuning,0.06155499070882797,smoothness,correlation_x0p5,ell=0.5x,0.5,,variable_sparsity,0.21466006338596344,True,0.5,1.3333122730255127,128,0.37952712178230286,0.29133349657058716,0.12557291984558105,0.42816466093063354,0.29474106431007385,,,,,,,,,,,,,1.0841565132141113,1.0131782293319702,,,0.2724599838256836,0.42816466093063354,0.2224915325641632,0.4620300531387329,1.0
pilot__rnn__t2__seed10,rnn,RNN,t2,10,False,0.08156989514827728,ring-selected zero-retuning,0.057206250727176666,smoothness,correlation_x0p75,ell=0.75x,0.75,,variable_sparsity,0.2170390486717224,True,0.75,1.361224889755249,128,0.3592161238193512,0.274101197719574,0.1174391508102417,0.4136132299900055,0.2959599196910858,,,,,,,,,,,,,1.0867197513580322,1.0065118074417114,,,0.2600550651550293,0.4136132299900055,0.20258553326129913,0.44918709993362427,1.0
pilot__rnn__t2__seed10,rnn,RNN,t2,10,False,0.08156989514827728,ring-selected zero-retuning,0.051502835005521774,smoothness,correlation_x1p5,ell=1.5x,1.5,,variable_sparsity,0.21639195084571838,True,1.5,1.377539873123169,128,0.3334125876426697,0.25935256481170654,0.11646981537342072,0.3756544589996338,0.29199665784835815,,,,,,,,,,,,,1.0359363555908203,0.9250991344451904,,,0.2487775981426239,0.3756544589996338,0.19688917696475983,0.3994961380958557,1.0
pilot__rnn__t2__seed10,rnn,RNN,t2,10,False,0.08156989514827728,ring-selected zero-retuning,0.051833245903253555,smoothness,correlation_x2,ell=2x,2.0,,variable_sparsity,0.2147645205259323,True,2.0,1.384145736694336,128,0.341228723526001,0.2608288526535034,0.1172603964805603,0.3928939700126648,0.30336713790893555,,,,,,,,,,,,,1.0317026376724243,0.961288332939148,,,0.2494899034500122,0.3928939700126648,0.1984797716140747,0.4030749499797821,1.0
pilot__rnn__t2__seed10,rnn,RNN,t2,10,False,0.08156989514827728,ring-selected zero-retuning,0.05206151306629181,smoothness,correlation_x3,ell=3x,3.0,,variable_sparsity,0.20930933952331543,True,3.0,1.3864840269088745,128,0.326876163482666,0.2567463219165802,0.11802829056978226,0.35868582129478455,0.30837807059288025,,,,,,,,,,,,,1.0748456716537476,0.9832277894020081,,,0.2450694739818573,0.35868582129478455,0.20197412371635437,0.40041375160217285,1.0
pilot__rnn__t2__seed10,rnn,RNN,t2,10,False,0.08156989514827728,ring-selected zero-retuning,0.05147776007652283,smoothness,correlation_x4,ell=4x,4.0,,variable_sparsity,0.2090732902288437,True,4.0,1.3974353075027466,128,0.3293936252593994,0.2566342055797577,0.11756737530231476,0.3790329694747925,0.30148544907569885,,,,,,,,,,,,,1.1444330215454102,1.0481895208358765,,,0.24492685496807098,0.3790329694747925,0.19978585839271545,0.4094655513763428,1.0
pilot__rnn__t2__seed10,rnn,RNN,t2,10,False,0.08156989514827728,ring-selected zero-retuning,0.024333804845809937,dwell,dwell_block128,all blank 128,128,,all_blank,0.16924017667770386,True,1.0,0.0,128,0.23130807280540466,,0.07164808362722397,0.2589634358882904,0.1979910135269165,,,,,,,,,,,,,0.8931901454925537,0.7162009477615356,,,0.16924017667770386,0.2589634358882904,0.1471998393535614,0.29393789172172546,1.0
pilot__rnn__t2__seed10,rnn,RNN,t2,10,False,0.08156989514827728,ring-selected zero-retuning,0.06939604878425598,dwell,dwell_block32,blank block 32,32,,variable_sparsity,0.25949743390083313,True,1.0,1.3455064296722412,128,0.4106544852256775,0.31402847170829773,0.11480909585952759,0.43235689401626587,0.3256567418575287,,,,,,,,,,,,,1.0889620780944824,1.0298548936843872,,,0.29029762744903564,0.43235689401626587,0.22112570703029633,0.5358655452728271,1.0
