topology,condition_id,condition_axis,condition_value,condition_label,eligible_baseline_models,eligible_baseline_count,alive_baseline_count,transition_baseline_count,collapsed_baseline_count,collapsed_baseline_models,chance_collapsed_baseline_count,chance_collapsed_baseline_models,severely_degraded_baseline_count,severely_degraded_baseline_models,universal_baseline_failure,universal_baseline_chance_collapse,calru_status
s2,dwell_block32,dwell,32,blank block 32,lstm,1,1,0,0,,0,,0,,False,False,alive
s1,dwell_block64,dwell,64,blank block 64,"rnn,gru,lstm",3,3,0,0,,0,,0,,False,False,alive
t2,dwell_block64,dwell,64,blank block 64,"gru,lstm",2,2,0,0,,0,,0,,False,False,alive
s2,dwell_block64,dwell,64,blank block 64,lstm,1,1,0,0,,0,,0,,False,False,alive
s1,dwell_block96,dwell,96,blank block 96,"rnn,gru,lstm",3,3,0,0,,0,,0,,False,False,alive
t2,dwell_block96,dwell,96,blank block 96,"gru,lstm",2,2,0,0,,0,,0,,False,False,alive
s2,dwell_block96,dwell,96,blank block 96,lstm,1,1,0,0,,0,,0,,False,False,alive
s1,dwell_block128,dwell,128,all blank 128,"rnn,gru,lstm",3,0,0,3,"rnn,gru,lstm",3,"rnn,gru,lstm",0,,True,True,chance_collapsed
t2,dwell_block128,dwell,128,all blank 128,"gru,lstm",2,0,0,2,"gru,lstm",2,"gru,lstm",0,,True,True,chance_collapsed
s2,dwell_block128,dwell,128,all blank 128,lstm,1,0,0,1,lstm,1,lstm,0,,True,True,chance_collapsed
s1,blank_h0,blank,0,H=0,"rnn,gru,lstm",3,3,0,0,,0,,0,,False,False,alive
t2,blank_h0,blank,0,H=0,"gru,lstm",2,2,0,0,,0,,0,,False,False,alive
s2,blank_h0,blank,0,H=0,lstm,1,1,0,0,,0,,0,,False,False,alive
s1,blank_h128,blank,128,H=128,"rnn,gru,lstm",3,3,0,0,,0,,0,,False,False,alive
t2,blank_h128,blank,128,H=128,"gru,lstm",2,2,0,0,,0,,0,,False,False,alive
s2,blank_h128,blank,128,H=128,lstm,1,1,0,0,,0,,0,,False,False,alive
s1,blank_h256,blank,256,H=256,"rnn,gru,lstm",3,3,0,0,,0,,0,,False,False,alive
t2,blank_h256,blank,256,H=256,"gru,lstm",2,2,0,0,,0,,0,,False,False,alive
s2,blank_h256,blank,256,H=256,lstm,1,1,0,0,,0,,0,,False,False,alive
s1,blank_h512,blank,512,H=512,"rnn,gru,lstm",3,1,2,0,,0,,0,,False,False,alive
t2,blank_h512,blank,512,H=512,"gru,lstm",2,0,2,0,,0,,0,,False,False,alive
s2,blank_h512,blank,512,H=512,lstm,1,0,1,0,,0,,0,,False,False,alive
s1,blank_h768,blank,768,H=768,"rnn,gru,lstm",3,0,3,0,,0,,0,,False,False,alive
t2,blank_h768,blank,768,H=768,"gru,lstm",2,0,1,1,lstm,0,,1,lstm,False,False,alive
s2,blank_h768,blank,768,H=768,lstm,1,0,0,1,lstm,0,,1,lstm,True,False,alive
s1,blank_h1024,blank,1024,H=1024,"rnn,gru,lstm",3,0,1,2,"gru,lstm",0,,2,"gru,lstm",False,False,alive
t2,blank_h1024,blank,1024,H=1024,"gru,lstm",2,0,0,2,"gru,lstm",0,,2,"gru,lstm",True,False,alive
s2,blank_h1024,blank,1024,H=1024,lstm,1,0,0,1,lstm,0,,1,lstm,True,False,alive
s1,blank_h1536,blank,1536,H=1536,"rnn,gru,lstm",3,0,1,2,"gru,lstm",0,,2,"gru,lstm",False,False,alive
t2,blank_h1536,blank,1536,H=1536,"gru,lstm",2,0,0,2,"gru,lstm",0,,2,"gru,lstm",True,False,alive
s2,blank_h1536,blank,1536,H=1536,lstm,1,0,0,1,lstm,0,,1,lstm,True,False,alive
s1,blank_h2048,blank,2048,H=2048,"rnn,gru,lstm",3,0,1,2,"gru,lstm",0,,2,"gru,lstm",False,False,alive
t2,blank_h2048,blank,2048,H=2048,"gru,lstm",2,0,0,2,"gru,lstm",0,,2,"gru,lstm",True,False,alive
s2,blank_h2048,blank,2048,H=2048,lstm,1,0,0,1,lstm,0,,1,lstm,True,False,alive
s1,blank_h4096,blank,4096,H=4096,"rnn,gru,lstm",3,0,0,3,"rnn,gru,lstm",0,,3,"rnn,gru,lstm",True,False,alive
t2,blank_h4096,blank,4096,H=4096,"gru,lstm",2,0,0,2,"gru,lstm",2,"gru,lstm",0,,True,True,alive
s2,blank_h4096,blank,4096,H=4096,lstm,1,0,0,1,lstm,1,lstm,0,,True,True,alive
