topology,model,model_label,condition_id,condition_axis,condition_value,condition_label,eligible_seed_count,finite_seed_count,error_median_radians,error_min_radians,error_max_radians,chance_ratio_median,id_error_ratio_median,status
s1,rnn,RNN,length_h2048,length,2048,T=2048,1,1,1.7305076122283936,1.7305076122283936,1.7305076122283936,1.138808302191056,15.25479633435332,chance_collapsed
s1,gru,GRU,length_h2048,length,2048,T=2048,3,3,0.373025119304657,0.16263870894908905,0.532731294631958,0.24547947653516972,9.241568224113445,severely_degraded
s1,lstm,LSTM,length_h2048,length,2048,T=2048,3,3,0.34625178575515747,0.24277648329734802,0.5443357229232788,0.22786054535679803,10.577597536290902,severely_degraded
s1,calru,CA-LRU,length_h2048,length,2048,T=2048,3,3,0.48304325342178345,0.4173111319541931,0.7832270860671997,0.31787994656997987,9.778381529946195,severely_degraded
t2,rnn,RNN,length_h2048,length,2048,T=2048,0,0,,,,,,ineligible_id
t2,gru,GRU,length_h2048,length,2048,T=2048,3,3,0.6126634478569031,0.376359224319458,0.705901026725769,0.37201911651102754,10.441913841124116,severely_degraded
t2,lstm,LSTM,length_h2048,length,2048,T=2048,3,3,0.6475715637207031,0.3607523441314697,0.7646373510360718,0.3932158868882097,9.555575442638458,severely_degraded
t2,calru,CA-LRU,length_h2048,length,2048,T=2048,3,3,0.35560205578804016,0.20231224596500397,0.7080877423286438,0.21592729758324078,14.556567258696164,severely_degraded
s2,rnn,RNN,length_h2048,length,2048,T=2048,0,0,,,,,,ineligible_id
s2,gru,GRU,length_h2048,length,2048,T=2048,0,0,,,,,,ineligible_id
s2,lstm,LSTM,length_h2048,length,2048,T=2048,3,3,0.4156923294067383,0.34830039739608765,0.4479382038116455,0.26964213193494835,5.711440313267708,transition
s2,calru,CA-LRU,length_h2048,length,2048,T=2048,1,1,1.337770700454712,1.337770700454712,1.337770700454712,0.8677555927614155,13.123530174482372,chance_collapsed
s1,rnn,RNN,velocity_x0p5,velocity,0.5,0.5x,1,1,0.09174105525016785,0.09174105525016785,0.09174105525016785,0.08691895700831896,0.8087171090439907,alive
s1,gru,GRU,velocity_x0p5,velocity,0.5,0.5x,3,3,0.03984089568257332,0.01939612627029419,0.05139350891113281,0.037746776397584274,0.9870444013170548,alive
s1,lstm,LSTM,velocity_x0p5,velocity,0.5,0.5x,3,3,0.032712310552597046,0.02629617042839527,0.037459421902894974,0.03099288433962895,1.045578699279679,alive
s1,calru,CA-LRU,velocity_x0p5,velocity,0.5,0.5x,3,3,0.046102724969387054,0.00623882282525301,0.051105204969644547,0.04367947107926007,0.6380348704084666,alive
t2,rnn,RNN,velocity_x0p5,velocity,0.5,0.5x,0,0,,,,,,ineligible_id
t2,gru,GRU,velocity_x0p5,velocity,0.5,0.5x,3,3,0.0515836700797081,0.04764212667942047,0.06277959793806076,0.04403556217507485,0.8791649648194612,alive
t2,lstm,LSTM,velocity_x0p5,velocity,0.5,0.5x,3,3,0.06866072863340378,0.05290108546614647,0.06943708658218384,0.05861377796597647,1.0223206842143138,alive
t2,calru,CA-LRU,velocity_x0p5,velocity,0.5,0.5x,3,3,0.015977784991264343,0.011461382731795311,0.02622199058532715,0.013639796147028635,0.5506363974053539,alive
s2,rnn,RNN,velocity_x0p5,velocity,0.5,0.5x,0,0,,,,,,ineligible_id
s2,gru,GRU,velocity_x0p5,velocity,0.5,0.5x,0,0,,,,,,ineligible_id
s2,lstm,LSTM,velocity_x0p5,velocity,0.5,0.5x,3,3,0.07281920313835144,0.05496855080127716,0.07518467307090759,0.0659030291247723,0.9586428865924537,alive
s2,calru,CA-LRU,velocity_x0p5,velocity,0.5,0.5x,1,1,0.050742246210575104,0.050742246210575104,0.050742246210575104,0.0459228827802249,0.4977814202681738,alive
s1,rnn,RNN,velocity_x0p75,velocity,0.75,0.75x,1,1,0.10290274024009705,0.10290274024009705,0.10290274024009705,0.08772480344228167,0.9071097598860872,alive
s1,gru,GRU,velocity_x0p75,velocity,0.75,0.75x,3,3,0.04080599546432495,0.02000897005200386,0.048852868378162384,0.03478719733820732,0.951866367210574,alive
s1,lstm,LSTM,velocity_x0p75,velocity,0.75,0.75x,3,3,0.03316623717546463,0.024478279054164886,0.03435403108596802,0.028274287257551715,0.9589000927722301,alive
s1,calru,CA-LRU,velocity_x0p75,velocity,0.75,0.75x,3,3,0.05607946217060089,0.009937983937561512,0.06605853140354156,0.04780785997133126,0.8247231676003866,alive
t2,rnn,RNN,velocity_x0p75,velocity,0.75,0.75x,0,0,,,,,,ineligible_id
t2,gru,GRU,velocity_x0p75,velocity,0.75,0.75x,3,3,0.05196712166070938,0.051198575645685196,0.061617542058229446,0.04009422259489929,0.8857003120562909,alive
t2,lstm,LSTM,velocity_x0p75,velocity,0.75,0.75x,3,3,0.06585104018449783,0.04887612536549568,0.06844078004360199,0.05080609006019121,0.9716989097603091,alive
t2,calru,CA-LRU,velocity_x0p75,velocity,0.75,0.75x,3,3,0.02187306433916092,0.015286832116544247,0.03625427186489105,0.01687573762835377,0.7452999328597394,alive
s2,rnn,RNN,velocity_x0p75,velocity,0.75,0.75x,0,0,,,,,,ineligible_id
s2,gru,GRU,velocity_x0p75,velocity,0.75,0.75x,0,0,,,,,,ineligible_id
s2,lstm,LSTM,velocity_x0p75,velocity,0.75,0.75x,3,3,0.0699644684791565,0.05417308956384659,0.07341274619102478,0.059839670879235723,0.9260041536939743,alive
s2,calru,CA-LRU,velocity_x0p75,velocity,0.75,0.75x,1,1,0.07479365915060043,0.07479365915060043,0.07479365915060043,0.06397001284672128,0.7337257740726572,alive
s1,rnn,RNN,velocity_x1p25,velocity,1.25,1.25x,1,1,0.146089568734169,0.146089568734169,0.146089568734169,0.11420666649084292,1.2878109300793592,alive
s1,gru,GRU,velocity_x1p25,velocity,1.25,1.25x,3,3,0.05095304548740387,0.03602626547217369,0.06030264496803284,0.039832943057430154,1.2623440667372767,alive
s1,lstm,LSTM,velocity_x1p25,velocity,1.25,1.25x,3,3,0.04012313857674599,0.02711714431643486,0.04630447179079056,0.03136657836493796,1.181474560538292,alive
s1,calru,CA-LRU,velocity_x1p25,velocity,1.25,1.25x,3,3,0.0899556577205658,0.016967477276921272,0.09565871953964233,0.07032354116228007,1.3645418862516712,alive
t2,rnn,RNN,velocity_x1p25,velocity,1.25,1.25x,0,0,,,,,,ineligible_id
t2,gru,GRU,velocity_x1p25,velocity,1.25,1.25x,3,3,0.07414527237415314,0.07271797955036163,0.07985985279083252,0.05269649956138188,1.2487352874462156,alive
t2,lstm,LSTM,velocity_x1p25,velocity,1.25,1.25x,3,3,0.07054799795150757,0.05762437731027603,0.07815180718898773,0.050139846062578444,1.1394767126044547,alive
t2,calru,CA-LRU,velocity_x1p25,velocity,1.25,1.25x,3,3,0.03647567331790924,0.02648122049868107,0.06584005802869797,0.025923976559136176,1.2788198359250642,alive
s2,rnn,RNN,velocity_x1p25,velocity,1.25,1.25x,0,0,,,,,,ineligible_id
s2,gru,GRU,velocity_x1p25,velocity,1.25,1.25x,0,0,,,,,,ineligible_id
s2,lstm,LSTM,velocity_x1p25,velocity,1.25,1.25x,3,3,0.08927933871746063,0.07817857712507248,0.0952736884355545,0.07343120132027828,1.2147880674034766,alive
s2,calru,CA-LRU,velocity_x1p25,velocity,1.25,1.25x,1,1,0.13526955246925354,0.13526955246925354,0.13526955246925354,0.1112576087879454,1.3269942695826535,alive
s1,rnn,RNN,velocity_x1p5,velocity,1.5,1.5x,1,1,0.18418927490711212,0.18418927490711212,0.18418927490711212,0.13891740622687096,1.6236680242406092,alive
s1,gru,GRU,velocity_x1p5,velocity,1.5,1.5x,3,3,0.07108835875988007,0.05674220994114876,0.07617786526679993,0.05361555615454827,1.7611894840870639,alive
s1,lstm,LSTM,velocity_x1p5,velocity,1.5,1.5x,3,3,0.048320069909095764,0.03787892311811447,0.0624876394867897,0.0364434833888011,1.650357556917033,alive
s1,calru,CA-LRU,velocity_x1p5,velocity,1.5,1.5x,3,3,0.11552376300096512,0.032310254871845245,0.1366683393716812,0.08712918557150019,2.0731288984226044,alive
t2,rnn,RNN,velocity_x1p5,velocity,1.5,1.5x,0,0,,,,,,ineligible_id
t2,gru,GRU,velocity_x1p5,velocity,1.5,1.5x,3,3,0.10538578778505325,0.09943636506795883,0.11013374477624893,0.07277156743675911,1.7221155390920633,alive
t2,lstm,LSTM,velocity_x1p5,velocity,1.5,1.5x,3,3,0.08661341667175293,0.07494146376848221,0.09220531582832336,0.05980876762161027,1.36058298568196,alive
t2,calru,CA-LRU,velocity_x1p5,velocity,1.5,1.5x,3,3,0.04600419104099274,0.039273444563150406,0.09465285390615463,0.031767064241540605,1.8868044575424991,alive
s2,rnn,RNN,velocity_x1p5,velocity,1.5,1.5x,0,0,,,,,,ineligible_id
s2,gru,GRU,velocity_x1p5,velocity,1.5,1.5x,0,0,,,,,,ineligible_id
s2,lstm,LSTM,velocity_x1p5,velocity,1.5,1.5x,3,3,0.12546205520629883,0.11867453157901764,0.13512404263019562,0.10183830146286144,1.722900386264708,alive
s2,calru,CA-LRU,velocity_x1p5,velocity,1.5,1.5x,1,1,0.20772361755371094,0.20772361755371094,0.20772361755371094,0.1686105041927362,2.0377686265607133,alive
s1,rnn,RNN,velocity_x2,velocity,2.0,2x,1,1,0.32835328578948975,0.32835328578948975,0.32835328578948975,0.23781766270975477,2.8945047482248754,alive
s1,gru,GRU,velocity_x2,velocity,2.0,2x,3,3,0.13861100375652313,0.13834089040756226,0.14901357889175415,0.1003923102519613,3.6917598423787026,alive
s1,lstm,LSTM,velocity_x2,velocity,2.0,2x,3,3,0.08789010345935822,0.08190897107124329,0.12492889910936356,0.06365649404045692,3.487053168407697,alive
s1,calru,CA-LRU,velocity_x2,velocity,2.0,2x,3,3,0.18993481993675232,0.1048809364438057,0.24805450439453125,0.1375648026056769,3.7627512254001694,alive
t2,rnn,RNN,velocity_x2,velocity,2.0,2x,0,0,,,,,,ineligible_id
t2,gru,GRU,velocity_x2,velocity,2.0,2x,3,3,0.24954712390899658,0.2315986454486847,0.26566335558891296,0.1668311186311922,4.1540673456303905,transition
t2,lstm,LSTM,velocity_x2,velocity,2.0,2x,3,3,0.1883247047662735,0.14889885485172272,0.19284683465957642,0.12590175622903158,2.845650705963347,alive
t2,calru,CA-LRU,velocity_x2,velocity,2.0,2x,3,3,0.11360085010528564,0.11140531301498413,0.19609561562538147,0.07594620448292788,4.031250433172236,transition
s2,rnn,RNN,velocity_x2,velocity,2.0,2x,0,0,,,,,,ineligible_id
