model,topology,seed,task,blank2048,tangent_error,normal_gain,gap,recovery,shape,topology_h2048_match,checkpoint,cell_id
split,t2,11,0.03396579623222351,0.5559866428375244,0.18180304765701294,1.021517276763916,-0.20332032442092896,0.5416440963745117,0.5750311017036438,False,/home/biadmin/ca_rnn/experiments/static_gate_split_refinement_final_seeds_v3/final/rp__split_rnn_rp__t2__final_eta1_signed__seed11/checkpoint.pt,
split,t2,12,0.029103845357894897,0.48892319202423096,0.18901950120925903,1.0219284296035767,-0.2109479308128357,0.4828001856803894,0.5147974491119385,False,/home/biadmin/ca_rnn/experiments/static_gate_split_refinement_final_seeds_v3/final/rp__split_rnn_rp__t2__final_eta1_signed__seed12/checkpoint.pt,
calru,s1,20,0.01350158266723156,0.024781960994005203,0.013052046298980713,1.0000030994415283,-0.013055145740509033,0.9999961256980896,0.0869879350066185,False,/home/biadmin/ca_rnn/experiments/manifold_calru_topology_tuning_v2-e722ccf/screen__calru__s1__lr0p01_eta300_i100__seed20/checkpoint.pt,lr0p01_eta300_i100
calru,s1,21,0.04520699009299278,0.08910885453224182,0.011608600616455078,1.0000014305114746,-0.011610031127929688,0.9999983906745911,0.09517033398151398,False,/home/biadmin/ca_rnn/experiments/manifold_calru_topology_tuning_v2-e722ccf/confirm__calru__s1__lr0p01_eta300_i100__seed21/checkpoint.pt,lr0p01_eta300_i100
calru,s1,22,0.006906669586896896,0.015963934361934662,0.025384604930877686,1.0000027418136597,-0.025387346744537354,1.000001072883606,0.08307871967554092,False,/home/biadmin/ca_rnn/experiments/manifold_calru_topology_tuning_v2-e722ccf/confirm__calru__s1__lr0p01_eta300_i100__seed22/checkpoint.pt,lr0p01_eta300_i100
calru,t2,20,0.027543356642127037,0.04318789392709732,0.007721662521362305,1.0000022649765015,-0.0077239274978637695,0.9999972581863403,0.010453710332512856,False,/home/biadmin/ca_rnn/experiments/manifold_calru_topology_tuning_v2-e722ccf/screen__calru__t2__lr0p01_eta1000_i50__seed20/checkpoint.pt,lr0p01_eta1000_i50
calru,t2,21,0.052899524569511414,0.08943556249141693,0.009314179420471191,1.0000016689300537,-0.009315848350524902,1.0000003576278687,0.013253588229417801,False,/home/biadmin/ca_rnn/experiments/manifold_calru_topology_tuning_v2-e722ccf/confirm__calru__t2__lr0p01_eta1000_i50__seed21/checkpoint.pt,lr0p01_eta1000_i50
calru,t2,22,0.016000129282474518,0.021568505093455315,0.0035586953163146973,1.0000015497207642,-0.0035602450370788574,1.0000005960464478,0.008090700954198837,True,/home/biadmin/ca_rnn/experiments/manifold_calru_topology_tuning_v2-e722ccf/confirm__calru__t2__lr0p01_eta1000_i50__seed22/checkpoint.pt,lr0p01_eta1000_i50
calru,s2,20,0.07786160707473755,0.12712538242340088,0.009928345680236816,1.0000009536743164,-0.009929299354553223,0.9999999403953552,0.016710005700588226,False,/home/biadmin/ca_rnn/experiments/manifold_calru_topology_tuning_v2-e722ccf/screen__calru__s2__lr0p01_eta1000_i50__seed20/checkpoint.pt,lr0p01_eta1000_i50
calru,s2,21,0.06629382073879242,0.10261671245098114,0.007610678672790527,1.000002145767212,-0.007612824440002441,0.9999678730964661,0.015641434118151665,False,/home/biadmin/ca_rnn/experiments/manifold_calru_topology_tuning_v2-e722ccf/confirm__calru__s2__lr0p01_eta1000_i50__seed21/checkpoint.pt,lr0p01_eta1000_i50
calru,s2,22,0.06831176578998566,0.10914497077465057,0.010648906230926514,1.0000019073486328,-0.010650813579559326,0.9999991655349731,0.020308874547481537,False,/home/biadmin/ca_rnn/experiments/manifold_calru_topology_tuning_v2-e722ccf/confirm__calru__s2__lr0p01_eta1000_i50__seed22/checkpoint.pt,lr0p01_eta1000_i50
