all_finite,anchors,job_id,model,one_step_normal_to_tangent_leakage_mean,one_step_sampled_normal_gain_mean,one_step_sampled_normal_residual_gain_mean,one_step_tangent_anisotropy_median,one_step_tangent_gain_mean,one_step_tangent_gain_min_median,one_step_tangent_to_normal_leakage_mean,seed,state_scale,topology,selection_regime,source_analysis
True,128,pilot__lstm__s2__seed11,lstm,0.28695252537727356,0.502816915512085,0.4754520654678345,1.0052746534347534,1.0040674209594727,1.001077651977539,0.03133859485387802,11,2.9091384410858154,s2,ring-selected zero-retuning,baseline_all_v2
True,128,pilot__lstm__s2__seed12,lstm,0.274255633354187,0.5025686025619507,0.47773414850234985,1.0067861080169678,1.0040661096572876,1.000537633895874,0.03167055547237396,12,2.777632474899292,s2,ring-selected zero-retuning,baseline_all_v2
True,128,pilot__lstm__t2__seed10,lstm,0.22015990316867828,0.5127420425415039,0.49627625942230225,1.009801983833313,1.0021294355392456,0.9958587288856506,0.05435429513454437,10,2.8717901706695557,t2,ring-selected zero-retuning,baseline_all_v2
True,128,pilot__lstm__t2__seed11,lstm,0.21414123475551605,0.5113639831542969,0.4961205720901489,1.0069974660873413,0.9983887672424316,0.9948368072509766,0.05137118697166443,11,2.7797203063964844,t2,ring-selected zero-retuning,baseline_all_v2
True,128,pilot__lstm__t2__seed12,lstm,0.21918877959251404,0.5103460550308228,0.49435514211654663,1.0094802379608154,0.9990259408950806,0.9950380325317383,0.05989379435777664,12,2.816878080368042,t2,ring-selected zero-retuning,baseline_all_v2
True,128,pilot__rnn__s1__seed10,rnn,0.020822782069444656,0.9024160504341125,0.9020428657531738,1.0,0.9909515380859375,1.0195069313049316,0.1423805207014084,10,10.125975608825684,s1,ring-selected zero-retuning,baseline_all_v2
True,128,pilot__rnn__s1__seed11,rnn,0.02092757262289524,0.895153820514679,0.8948416709899902,1.0,1.0008624792099,1.0076520442962646,0.0968208834528923,11,3.0013723373413086,s1,ring-selected zero-retuning,baseline_all_v2
True,128,pilot__rnn__s1__seed12,rnn,0.018896261230111122,0.8943607807159424,0.8941028714179993,1.0,1.0032484531402588,1.0018384456634521,0.08400358259677887,12,3.189239978790283,s1,ring-selected zero-retuning,baseline_all_v2
True,128,pilot__rnn__s2__seed10,rnn,0.06112497299909592,0.9041749238967896,0.901594340801239,1.5088766813278198,0.786899209022522,0.6295738220214844,0.46056169271469116,10,2.169497013092041,s2,ring-selected zero-retuning,baseline_all_v2
True,128,pilot__rnn__s2__seed11,rnn,0.045385122299194336,0.8977446556091309,0.8961876630783081,1.1182167530059814,0.8735029101371765,0.868760883808136,0.24828676879405975,11,9.518794059753418,s2,ring-selected zero-retuning,baseline_all_v2
True,128,pilot__rnn__s2__seed12,rnn,0.04353875666856766,0.9009182453155518,0.8994646072387695,1.0866587162017822,0.832619845867157,0.8578225374221802,0.3036385178565979,12,10.34207534790039,s2,ring-selected zero-retuning,baseline_all_v2
True,128,pilot__rnn__t2__seed10,rnn,0.04812503978610039,0.8882523775100708,0.8866538405418396,1.090888500213623,0.9257307648658752,0.9203212261199951,0.29365384578704834,10,2.805945634841919,t2,ring-selected zero-retuning,baseline_all_v2
True,128,pilot__rnn__t2__seed11,rnn,0.04730710759758949,0.88921058177948,0.887859582901001,1.0532699823379517,0.9645047187805176,0.952950656414032,0.22692252695560455,11,2.5214388370513916,t2,ring-selected zero-retuning,baseline_all_v2
True,128,pilot__rnn__t2__seed12,rnn,0.05621630698442459,0.8966713547706604,0.8944745063781738,1.1321361064910889,0.8617834448814392,0.8658312559127808,0.38962119817733765,12,2.329134464263916,t2,ring-selected zero-retuning,baseline_all_v2
True,128,broad__calru__s1__lr0p01_eta1000_i50__seed10,calru,0.005079539027065039,0.7541791200637817,0.7541635036468506,1.0,0.9959332346916199,0.9963277578353882,0.03277541697025299,10,0.9623342752456665,s1,topology-specific validation-selected,selected_hparam_v1
True,128,broad__calru__s2__lr0p003_eta1000_i50__seed10,calru,0.004080398939549923,0.750259518623352,0.7502514123916626,1.0016862154006958,0.9981448650360107,0.9972453117370605,0.01740441843867302,10,0.8116429448127747,s2,topology-specific validation-selected,selected_hparam_v1
True,128,broad__calru__t2__lr0p01_eta1000_i50__seed10,calru,0.002751009538769722,0.7526790499687195,0.7526750564575195,1.0008147954940796,0.9994140267372131,0.9990156888961792,0.011009094305336475,10,1.6883796453475952,t2,topology-specific validation-selected,selected_hparam_v1
True,128,refine__calru__s1__lr0p01_eta1000_i50__seed11,calru,0.00825386494398117,0.7402492761611938,0.740206241607666,1.0,0.9936046004295349,0.9938985109329224,0.05685599148273468,11,0.8103320002555847,s1,topology-specific validation-selected,selected_hparam_v1
True,128,refine__calru__s1__lr0p01_eta1000_i50__seed12,calru,0.00917430967092514,0.7408750057220459,0.7408231496810913,1.0,0.9908173084259033,0.9915210604667664,0.05917173624038696,12,1.431349277496338,s1,topology-specific validation-selected,selected_hparam_v1
True,128,refine__calru__s2__lr0p003_eta1000_i50__seed11,calru,0.004386761225759983,0.7526784539222717,0.752669095993042,1.001296043395996,0.9984104037284851,0.9977526664733887,0.018460972234606743,11,0.8738731145858765,s2,topology-specific validation-selected,selected_hparam_v1
True,128,refine__calru__s2__lr0p003_eta1000_i50__seed12,calru,0.0031748602632433176,0.7507637739181519,0.7507590055465698,1.0006012916564941,0.9990768432617188,0.9987417459487915,0.013377799652516842,12,0.7242127060890198,s2,topology-specific validation-selected,selected_hparam_v1
True,128,refine__calru__t2__lr0p01_eta1000_i50__seed11,calru,0.0020714234560728073,0.7508504986763,0.7508484125137329,1.0004624128341675,0.9996209740638733,0.9993877410888672,0.008593441918492317,11,1.807469129562378,t2,topology-specific validation-selected,selected_hparam_v1
True,128,refine__calru__t2__lr0p01_eta1000_i50__seed12,calru,0.003343098796904087,0.7515237331390381,0.7515169978141785,1.0008482933044434,0.9991952180862427,0.9990213513374329,0.012936494313180447,12,1.91557776927948,t2,topology-specific validation-selected,selected_hparam_v1
True,128,refine__hc__s1__lr0p003_a0p05_b0p1_eta300_i100__seed10,hc,0.01291315071284771,0.7459748983383179,0.7458772659301758,1.0,0.989301323890686,0.9898207783699036,0.08634673804044724,10,1.8341530561447144,s1,topology-specific validation-selected,selected_hparam_v1
True,128,refine__hc__s2__lr0p003_a0p05_bm0p3_eta1000_i50__seed10,hc,0.020496152341365814,0.3809569478034973,0.3808497190475464,1.002396583557129,1.0004230737686157,0.9984527826309204,0.0213654525578022,10,2.441373348236084,s2,topology-specific validation-selected,selected_hparam_v1
True,128,refine__hc__t2__lr0p003_a0p025_bm0p1_eta300_i100__seed10,hc,0.006892574951052666,0.8797092437744141,0.8796801567077637,1.002737045288086,0.9970399141311646,0.9948554039001465,0.03071124106645584,10,2.4031710624694824,t2,topology-specific validation-selected,selected_hparam_v1
True,128,robust__hc__s1__finalist2_lr0p003_a0p05_b0p1_eta300_i100__seed11,hc,0.013028820045292377,0.7872549295425415,0.7871496081352234,1.0,0.990406334400177,0.989465057849884,0.08866405487060547,11,1.8343888521194458,s1,topology-specific validation-selected,selected_hparam_v1
True,128,robust__hc__s1__finalist2_lr0p003_a0p05_b0p1_eta300_i100__seed12,hc,0.014938551932573318,0.6966632604598999,0.696540355682373,1.0,0.9856927394866943,0.9862238168716431,0.09218212217092514,12,1.963688850402832,s1,topology-specific validation-selected,selected_hparam_v1
True,128,robust__hc__s2__finalist2_lr0p003_a0p05_bm0p3_eta1000_i50__seed11,hc,0.013041682541370392,0.6550179719924927,0.6549376845359802,1.004570484161377,1.0033844709396362,1.0017225742340088,0.02269880846142769,11,2.370203971862793,s2,topology-specific validation-selected,selected_hparam_v1
True,128,robust__hc__s2__finalist2_lr0p003_a0p05_bm0p3_eta1000_i50__seed12,hc,0.014840222895145416,0.45911502838134766,0.45904776453971863,1.0039702653884888,1.002016544342041,1.0005487203598022,0.018631234765052795,12,2.4866080284118652,s2,topology-specific validation-selected,selected_hparam_v1
True,128,robust__hc__t2__finalist2_lr0p003_a0p025_bm0p1_eta300_i100__seed11,hc,0.003990194294601679,0.9047127962112427,0.9047031402587891,1.0035425424575806,0.9994640350341797,0.9974729418754578,0.013241993263363838,11,2.5617544651031494,t2,topology-specific validation-selected,selected_hparam_v1
True,128,robust__hc__t2__finalist2_lr0p003_a0p025_bm0p1_eta300_i100__seed12,hc,0.006508308928459883,0.90191650390625,0.9018884897232056,1.0027844905853271,0.9998195171356201,0.9983235597610474,0.028014780953526497,12,2.2274210453033447,t2,topology-specific validation-selected,selected_hparam_v1
