job_id,model,topology,seed,selection_regime,parameters_total,task_success,validation_nmse_db,test_error_normalized,test_error_rad,blank4096_error_normalized,blank4096_diverged,fiber_ratio,local_rank_full_fraction,far_collapse_fraction,endpoint_pca_participation_ratio,one_step_tangent_gain,one_step_normal_gain,topology_radial_hidden_q512,topology_radial_output_q512,topology_radial_same_memory_error512,finite128_tangent_gain_mean,finite128_normal_gain_mean,recovery_q512_median,same_memory_error512_mean
pilot__gru__s2__seed11,gru,s2,11,ring-selected zero-retuning,51843,False,-1.259464979171753,0.328006774187088,1.0304636721138418,0.5160493850708008,False,1.2158969236678276,0.98046875,0.0004901960784313725,1.0361390277539102,0.8678485155105591,0.5620870590209961,0.0,0.015316436067223549,0.0008741519413888454,0.45012393593788147,0.15578770637512207,0.0,0.0002617628488224
pilot__gru__s2__seed12,gru,s2,12,ring-selected zero-retuning,51843,False,-0.7329436540603638,0.36369702219963074,1.1425878930748439,0.4784072935581207,False,0.5381564895664606,0.9921875,0.00024509803921568627,1.0124209325732294,0.9339814186096191,0.6230013370513916,0.0,0.014172764495015144,0.008511273190379143,0.48529207706451416,0.10582660883665085,0.0,0.006059219129383564
pilot__lstm__s2__seed10,lstm,s2,10,ring-selected zero-retuning,18243,True,-24.353622436523438,0.014894659630954266,0.04679295327432638,0.4800143539905548,False,0.26716005643762897,1.0,0.0,3.4184670977454537,1.0056734085083008,0.5036342144012451,0.08338599652051926,0.00024685062817297876,0.0018205479718744755,1.0476934909820557,0.17090319097042084,0.1166926845908165,0.0024796295911073685
pilot__lstm__s2__seed11,lstm,s2,11,ring-selected zero-retuning,18243,True,-23.635141372680664,0.015587634406983852,0.04896999773982396,0.4305124878883362,False,0.2701814048869624,1.0,0.0,3.406778885996061,1.0040674209594727,0.502816915512085,0.10421937704086304,0.0005508882459253073,0.002155699534341693,1.0343743562698364,0.16947472095489502,0.12595833837985992,0.0025307543110102415
pilot__lstm__s2__seed12,lstm,s2,12,ring-selected zero-retuning,18243,True,-25.91034698486328,0.012675486505031586,0.03982121528488379,0.39859268069267273,False,0.2682251777880698,1.0,0.0,3.3886192896948915,1.0040661096572876,0.5025686025619507,0.08753274381160736,0.000295076344627887,0.001836092327721417,1.0286023616790771,0.15963371098041534,0.1265644133090973,0.0025883843190968037
pilot__rnn__s2__seed10,rnn,s2,10,ring-selected zero-retuning,17667,False,-1.765395998954773,0.2963460087776184,0.9309984440964223,0.45605432987213135,False,0.8449936218667019,0.99609375,0.0006127450980392157,1.843119531844625,0.786899209022522,0.9041749238967896,0.05699416995048523,0.005492431577295065,0.01352391205728054,1.0317744016647339,0.6522774696350098,0.05968397110700607,0.0044484976679086685
pilot__rnn__s2__seed11,rnn,s2,11,ring-selected zero-retuning,17667,False,-1.245737910270691,0.33614790439605713,1.0560397869702571,0.4723418354988098,False,0.37674116140570857,0.91015625,0.0003676470588235294,1.2844595196237172,0.8735029101371765,0.8977446556091309,0.0,3.3287358292000135e-06,0.00022396462736651301,0.3440881073474884,0.15096065402030945,0.0,0.00020265820785425603
pilot__rnn__s2__seed12,rnn,s2,12,ring-selected zero-retuning,17667,False,-0.37528491020202637,0.41956546902656555,1.3181037951938142,0.4810780882835388,False,0.18240645939581712,1.0,0.0,1.0032276741565027,0.832619845867157,0.9009182453155518,0.0,2.550775661802618e-06,4.0496284782420844e-05,0.002209967467933893,0.003242885461077094,0.0,3.7157078622840345e-05
pilot__gru__t2__seed10,gru,t2,10,ring-selected zero-retuning,51716,True,-24.554719924926758,0.01330607756972313,0.04180227554113811,0.39412230253219604,False,0.25240557367817784,1.0,0.0,4.041669848451219,0.9999250173568726,0.5065966844558716,0.22210174798965454,0.0027266894467175007,0.004086170345544815,1.018646001815796,0.165938138961792,0.13797087967395782,0.0025154862087219954
pilot__gru__t2__seed11,gru,t2,11,ring-selected zero-retuning,51716,True,-24.640911102294922,0.01271441113203764,0.039943500607129735,0.2853781580924988,False,0.2610592403397759,1.0,0.0,4.024086271915288,0.9960827827453613,0.5091686248779297,0.23345685005187988,0.00325355539098382,0.004253127612173557,1.05430006980896,0.17559340596199036,0.16041669249534607,0.0030010053887963295
pilot__gru__t2__seed12,gru,t2,12,ring-selected zero-retuning,51716,True,-25.07353973388672,0.012376618571579456,0.038882293980757016,0.3759673237800598,False,0.25658662823640993,1.0,0.0,4.037950919854006,0.9998267292976379,0.5102547407150269,0.21548393368721008,0.0022683534771203995,0.004221367184072733,1.0406372547149658,0.16659311950206757,0.14609643816947937,0.0026195989921689034
pilot__lstm__t2__seed10,lstm,t2,10,ring-selected zero-retuning,18180,True,-25.581893920898438,0.012513681314885616,0.039312889288208516,0.45445913076400757,False,0.2085399817455668,1.0,0.0,4.358428761288584,1.0021294355392456,0.5127420425415039,0.13954591751098633,0.0013258053222671151,0.002735888585448265,1.0464093685150146,0.13413845002651215,0.0999479591846466,0.0020236836280673742
pilot__lstm__t2__seed11,lstm,t2,11,ring-selected zero-retuning,18180,True,-25.092971801757812,0.01288391463458538,0.04047601156549146,0.3550170063972473,False,0.2111694430900272,1.0,0.0,4.319887726234176,0.9983887672424316,0.5113639831542969,0.1325700581073761,0.0009800877887755632,0.0027960692532360554,1.026341438293457,0.12825751304626465,0.09887043386697769,0.0021335307974368334
pilot__lstm__t2__seed12,lstm,t2,12,ring-selected zero-retuning,18180,True,-27.136327743530273,0.010399287566542625,0.03267032542161799,0.4427586793899536,False,0.20852095077251112,1.0,0.0,4.276736917640412,0.9990259408950806,0.5103460550308228,0.1357700228691101,0.0012525776401162148,0.00284780515357852,1.0223344564437866,0.129361093044281,0.10774196684360504,0.0021850294433534145
pilot__rnn__t2__seed10,rnn,t2,10,ring-selected zero-retuning,17796,False,-9.567566871643066,0.08266670256853104,0.25970510548578957,0.44120556116104126,False,0.5920824067420336,1.0,0.0,4.483252761400285,0.9257307648658752,0.8882523775100708,0.595403790473938,0.020923899486660957,0.03273880109190941,1.2017757892608643,0.8278508186340332,0.5044751763343811,0.02207433432340622
pilot__rnn__t2__seed11,rnn,t2,11,ring-selected zero-retuning,17796,False,-14.775938034057617,0.04318700730800629,0.13567598488936125,0.565502405166626,False,0.6311972179305532,1.0,0.0,4.358738546409881,0.9645047187805176,0.88921058177948,0.5787787437438965,0.010648156516253948,0.009803308174014091,1.3625038862228394,0.6362447142601013,0.5700167417526245,0.006338751874864101
pilot__rnn__t2__seed12,rnn,t2,12,ring-selected zero-retuning,17796,False,-7.391536712646484,0.11650124192237854,0.36599944575743165,0.48801732063293457,False,0.6660469323674687,1.0,0.00024506800637176816,2.93216845991495,0.8617834448814392,0.8966713547706604,0.4132124185562134,0.022269271314144135,0.03143791854381561,1.2941269874572754,0.6093310117721558,0.33817458152770996,0.015261409804224968
broad__calru__s1__lr0p01_eta1000_i50__seed10,calru,s1,10,topology-specific validation-selected,17058,True,-37.19720458984375,0.0028484310023486614,0.008948609911235965,0.003930835053324699,False,0.13034593380706863,1.0,0.0,1.9836011275194774,0.9959332346916199,0.7541791200637817,0.20963460206985474,0.0421750433743,0.00034647880238480866,0.9897885322570801,0.2987793982028961,0.2950906753540039,0.00041070254519581795
refine__calru__s1__lr0p01_eta1000_i50__seed11,calru,s1,11,topology-specific validation-selected,17058,True,-23.954469680786133,0.015997163951396942,0.0502565727479801,0.02043241262435913,False,0.19921988621524395,1.0,0.0,2.0081019232529744,0.9936046004295349,0.7402492761611938,0.4050709009170532,0.13917744159698486,0.0004780222079716623,0.9900723695755005,0.2640342712402344,0.2566526532173157,0.0003602064389269799
refine__calru__s1__lr0p01_eta1000_i50__seed12,calru,s1,12,topology-specific validation-selected,17058,True,-22.481430053710938,0.018210720270872116,0.05721066501955057,0.02517789788544178,False,0.15323747803460794,1.0,0.0,2.025620872736059,0.9908173084259033,0.7408750057220459,0.4721391201019287,0.21655412018299103,0.0009341027471236885,0.9834091663360596,0.2650485932826996,0.25753337144851685,0.0005365739343687892
refine__hc__s1__lr0p003_a0p05_b0p1_eta300_i100__seed10,hc,s1,10,topology-specific validation-selected,22570,True,-33.43672180175781,0.004122708924114704,0.012951872068887834,0.15127083659172058,False,0.548400645919932,1.0,0.0,2.057201775267064,0.989301323890686,0.7459748983383179,0.08229564875364304,0.0012815010268241167,0.002311708638444543,1.3426685333251953,0.21276453137397766,0.05635639652609825,0.0013090625870972872
robust__hc__s1__finalist2_lr0p003_a0p05_b0p1_eta300_i100__seed11,hc,s1,11,topology-specific validation-selected,22570,True,-20.050928115844727,0.01843670755624771,0.05792062501509124,0.15299953520298004,False,0.3692996547923324,1.0,0.0,2.0184925328139127,0.990406334400177,0.7872549295425415,0.5347381830215454,0.04789632931351662,0.005507522262632847,1.1844723224639893,0.24972018599510193,0.13679081201553345,0.0019140936201438308
robust__hc__s1__finalist2_lr0p003_a0p05_b0p1_eta300_i100__seed12,hc,s1,12,topology-specific validation-selected,22570,True,-31.640151977539062,0.005348164588212967,0.016801754580518937,0.13835789263248444,False,0.30378274139974504,1.0,0.0,1.9641155687596996,0.9856927394866943,0.6966632604598999,0.12446050345897675,0.007981371134519577,0.0021120011806488037,1.1893446445465088,0.16013175249099731,0.08512132614850998,0.0013205748982727528
broad__calru__s2__lr0p003_eta1000_i50__seed10,calru,s2,10,topology-specific validation-selected,17267,True,-21.02606773376465,0.020053613930940628,0.063000286203369,0.030972182750701904,False,0.232279468366675,1.0,0.0,2.452252231060073,0.9981448650360107,0.750259518623352,0.6687771081924438,0.46647632122039795,0.00288450438529253,0.9934413433074951,0.30201828479766846,0.2970997989177704,0.001483379164710641
refine__calru__s2__lr0p003_eta1000_i50__seed11,calru,s2,11,topology-specific validation-selected,17267,False,-13.892165184020996,0.04861988127231598,0.15274386182351585,0.06803306937217712,False,0.24664574623135804,1.0,0.0,2.8207208525066387,0.9984104037284851,0.7526784539222717,0.352689266204834,0.13403494656085968,0.002167660742998123,0.995927631855011,0.3366203308105469,0.3337363600730896,0.0010937732877209783
refine__calru__s2__lr0p003_eta1000_i50__seed12,calru,s2,12,topology-specific validation-selected,17267,False,-18.298114776611328,0.028160864487290382,0.08846996499200917,0.05469551309943199,False,0.25246434738435314,1.0,0.0,2.6864999009848063,0.9990768432617188,0.7507637739181519,0.7430312633514404,0.5735874772071838,0.0022450927644968033,0.9971758127212524,0.30404171347618103,0.2974962592124939,0.0011648859363049269
refine__hc__s2__lr0p003_a0p05_bm0p3_eta1000_i50__seed10,hc,s2,10,topology-specific validation-selected,22779,True,-20.858888626098633,0.02171359397470951,0.06821526731397899,0.1995433270931244,False,0.1954586084472552,1.0,0.0,2.9971034689085667,1.0004230737686157,0.3809569478034973,0.11999589949846268,0.0076722390949726105,0.0018960103625431657,1.0986225605010986,0.12166240811347961,0.08129539340734482,0.001628827303647995
robust__hc__s2__finalist2_lr0p003_a0p05_bm0p3_eta1000_i50__seed11,hc,s2,11,topology-specific validation-selected,22779,False,-17.017614364624023,0.03297775238752365,0.10360266463254757,0.25417613983154297,False,0.2529440424525363,1.0,0.0,2.941876334986027,1.0033844709396362,0.6550179719924927,0.3542073965072632,0.0316707007586956,0.005096948705613613,1.116385579109192,0.20408082008361816,0.14163237810134888,0.0025030681863427162
robust__hc__s2__finalist2_lr0p003_a0p05_bm0p3_eta1000_i50__seed12,hc,s2,12,topology-specific validation-selected,22779,True,-20.66608428955078,0.022614847868680954,0.07104663992629888,0.2121189534664154,False,0.17156580595492815,1.0,0.0,3.0162470613343535,1.002016544342041,0.45911502838134766,0.12977859377861023,0.00794324278831482,0.0020752078853547573,1.0483654737472534,0.16369682550430298,0.12615999579429626,0.002075360855087638
broad__calru__t2__lr0p01_eta1000_i50__seed10,calru,t2,10,topology-specific validation-selected,17320,True,-34.45299530029297,0.0041925907135009766,0.013171412185043457,0.006659193895757198,False,0.08554159984090526,1.0,0.0,3.9633090582516464,0.9994140267372131,0.7526790499687195,0.44393521547317505,0.20471416413784027,0.0005034107016399503,0.9985603094100952,0.3369166851043701,0.3360211253166199,0.00043854699470102787
refine__calru__t2__lr0p01_eta1000_i50__seed11,calru,t2,11,topology-specific validation-selected,17320,True,-26.387298583984375,0.011161462403833866,0.03506476829120315,0.015559040009975433,False,0.07216422157527179,1.0,0.0,3.9587288020214912,0.9996209740638733,0.7508504986763,0.38797882199287415,0.18542368710041046,0.0004878806066699326,0.9986690878868103,0.3027769923210144,0.2983147203922272,0.00041092041647061706
refine__calru__t2__lr0p01_eta1000_i50__seed12,calru,t2,12,topology-specific validation-selected,17320,True,-31.3701229095459,0.006228702142834663,0.01956804489332838,0.009227702394127846,False,0.07268518098117059,1.0,0.0,3.960867956076146,0.9991952180862427,0.7515237331390381,0.585192084312439,0.35942313075065613,0.000576111429836601,0.9984173774719238,0.33159899711608887,0.3306517004966736,0.000447369267931208
refine__hc__t2__lr0p003_a0p025_bm0p1_eta300_i100__seed10,hc,t2,10,topology-specific validation-selected,22832,True,-28.25261688232422,0.008682896383106709,0.02727812348904942,0.2122000902891159,False,0.3339848822016456,1.0,0.0,4.015188117536412,0.9970399141311646,0.8797092437744141,0.4243333339691162,0.02720208838582039,0.0036501572467386723,1.1776249408721924,0.39677977561950684,0.35328763723373413,0.0025052379351109266
robust__hc__t2__finalist2_lr0p003_a0p025_bm0p1_eta300_i100__seed11,hc,t2,11,topology-specific validation-selected,22832,True,-22.317888259887695,0.017195679247379303,0.05402181959705328,0.2273237556219101,False,0.305174934591064,1.0,0.0,3.9915608701527394,0.9994640350341797,0.9047127962112427,0.5314884185791016,0.04522585868835449,0.004377736710011959,1.1220794916152954,0.44807469844818115,0.491329550743103,0.003192418022081256
robust__hc__t2__finalist2_lr0p003_a0p025_bm0p1_eta300_i100__seed12,hc,t2,12,topology-specific validation-selected,22832,True,-27.29117202758789,0.010213563218712807,0.03208685517488308,0.21790748834609985,False,0.33304766168886524,1.0,0.0,3.9669026314130464,0.9998195171356201,0.90191650390625,0.8956471681594849,0.21571356058120728,0.012655625119805336,1.3172786235809326,0.6616188287734985,0.6155617237091064,0.006946093402802944
