causal_state_norm_mean,causal_state_norm_ratio_to_h0,clean_output_displacement_mean,diverged,finite,horizon,job_id,memory_error_mean,memory_error_median,model,output_norm_error_mean,seed,topology,task_success,selection_regime,source_analysis
2.6240453720092773,1.0031940937042236,0.4594203531742096,False,True,4096,pilot__gru__s1__seed11,0.4691162109375,0.5836486220359802,gru,0.011262045241892338,11,s1,True,ring-selected zero-retuning,baseline_all_v2
2.554021120071411,1.0,0.0,False,True,0,pilot__gru__s1__seed12,0.00803274754434824,0.006686906795948744,gru,0.007667018100619316,12,s1,True,ring-selected zero-retuning,baseline_all_v2
2.495561122894287,0.9789014458656311,0.003963829018175602,False,True,16,pilot__gru__s1__seed12,0.00932891946285963,0.008476264774799347,gru,0.008461873047053814,12,s1,True,ring-selected zero-retuning,baseline_all_v2
2.516119956970215,0.9866820573806763,0.007665197364985943,False,True,128,pilot__gru__s1__seed12,0.01221607904881239,0.011006014421582222,gru,0.004660898819565773,12,s1,True,ring-selected zero-retuning,baseline_all_v2
2.523059606552124,0.9893885850906372,0.026681385934352875,False,True,512,pilot__gru__s1__seed12,0.029187709093093872,0.02375577576458454,gru,0.004979904741048813,12,s1,True,ring-selected zero-retuning,baseline_all_v2
2.5407159328460693,0.996272087097168,0.0900036096572876,False,True,2048,pilot__gru__s1__seed12,0.09233290702104568,0.07211951166391373,gru,0.005558909382671118,12,s1,True,ring-selected zero-retuning,baseline_all_v2
2.5492730140686035,0.999658465385437,0.1435682475566864,False,True,4096,pilot__gru__s1__seed12,0.14589998126029968,0.13182568550109863,gru,0.0052807386964559555,12,s1,True,ring-selected zero-retuning,baseline_all_v2
3.680727481842041,1.0,4.267331678420305e-05,False,True,0,pilot__gru__s2__seed10,0.03839696943759918,0.03424031659960747,gru,0.030103694647550583,10,s2,False,ring-selected zero-retuning,baseline_all_v2
3.5837931632995605,0.975511908531189,0.016008339822292328,False,True,16,pilot__gru__s2__seed10,0.04034142196178436,0.03564039245247841,gru,0.015139460563659668,10,s2,False,ring-selected zero-retuning,baseline_all_v2
3.6019721031188965,0.9803212881088257,0.04482016712427139,False,True,128,pilot__gru__s2__seed10,0.06283643841743469,0.05534388870000839,gru,0.013662055134773254,10,s2,False,ring-selected zero-retuning,baseline_all_v2
3.594511032104492,0.9784330129623413,0.13519051671028137,False,True,512,pilot__gru__s2__seed10,0.14666831493377686,0.1259419173002243,gru,0.011511496268212795,10,s2,False,ring-selected zero-retuning,baseline_all_v2
3.586012125015259,0.97648024559021,0.264619916677475,False,True,2048,pilot__gru__s2__seed10,0.2730656862258911,0.23392978310585022,gru,0.011738087981939316,10,s2,False,ring-selected zero-retuning,baseline_all_v2
3.5293822288513184,0.9611656665802002,0.3242199122905731,False,True,4096,pilot__gru__s2__seed10,0.3299750089645386,0.28464820981025696,gru,0.013382013887166977,10,s2,False,ring-selected zero-retuning,baseline_all_v2
4.703997611999512,1.0,4.3427444325061515e-05,False,True,0,pilot__gru__s2__seed11,0.39166033267974854,0.37295010685920715,gru,0.6808550953865051,11,s2,False,ring-selected zero-retuning,baseline_all_v2
3.789462089538574,0.8051625490188599,0.14694252610206604,False,True,16,pilot__gru__s2__seed11,0.4014687240123749,0.3698636591434479,gru,0.7194726467132568,11,s2,False,ring-selected zero-retuning,baseline_all_v2
4.374035835266113,1.0173165798187256,0.2834281027317047,False,True,128,pilot__gru__s2__seed11,0.4594355821609497,0.44342052936553955,gru,0.7575280666351318,11,s2,False,ring-selected zero-retuning,baseline_all_v2
4.363605976104736,1.0211279392242432,0.37842488288879395,False,True,512,pilot__gru__s2__seed11,0.4899168610572815,0.48039400577545166,gru,0.8323827981948853,11,s2,False,ring-selected zero-retuning,baseline_all_v2
4.36772346496582,1.0213924646377563,0.45835304260253906,False,True,2048,pilot__gru__s2__seed11,0.5152572393417358,0.4985344707965851,gru,0.8343347311019897,11,s2,False,ring-selected zero-retuning,baseline_all_v2
