atlas_points,between_anchor_separation,closed_path_decoding_error_mean,endpoint_decoding_error_mean,far_latent_hidden_collapse_fraction,fiber_ratio,job_id,knn_overlap,latent_hidden_distance_spearman,local_sigma_min_median,local_tangent_condition_median,local_tangent_rank_full_fraction,local_tangent_rank_mean,model,same_memory_within_dispersion,seed,topology,selection_regime,source_analysis
256,4.127088377838787,0.03852912411093712,0.04462936520576477,0.0,0.676656800055403,pilot__rnn__s1__seed12,0.976171875,0.9791207978644311,3.528574348738575,1.0,1.0,1.0,rnn,2.7926224152942374,12,s1,ring-selected zero-retuning,baseline_all_v2
256,4.7897330360900074,0.4719375967979431,0.49024510383605957,0.0006127450980392157,0.8449936218667019,pilot__rnn__s2__seed10,0.29414062500000004,0.4557854332981968,0.13142970070659132,27.032651368321982,0.99609375,1.99609375,rnn,4.04729386594029,10,s2,ring-selected zero-retuning,baseline_all_v2
256,9.603205665417432,0.5610651969909668,0.6068520545959473,0.0003676470588235294,0.37674116140570857,pilot__rnn__s2__seed11,0.27265625000000004,0.44941955314022874,0.02346018510227297,117.04909644143467,0.91015625,1.91015625,rnn,3.617922855607244,11,s2,ring-selected zero-retuning,baseline_all_v2
256,10.306861179564976,0.36950552463531494,0.6434098482131958,0.0,0.18240645939581712,pilot__rnn__s2__seed12,0.528125,0.44294321477481147,0.03351083627965776,4.663104234555734,1.0,2.0,rnn,1.8800380552486424,12,s2,ring-selected zero-retuning,baseline_all_v2
256,3.5617098093500905,0.1792146861553192,0.2337619960308075,0.0,0.5920824067420336,pilot__rnn__t2__seed10,0.5015625,0.5352395286228213,1.134497172841244,3.4292935608858848,1.0,2.0,rnn,2.108825716036711,10,t2,ring-selected zero-retuning,baseline_all_v2
256,2.9124117209813223,0.11774670332670212,0.12713873386383057,0.0,0.6311972179305532,pilot__rnn__t2__seed11,0.587109375,0.7568908894624052,0.8852286875201665,2.8090802833851054,1.0,2.0,rnn,1.8383061757517452,11,t2,ring-selected zero-retuning,baseline_all_v2
256,3.155203812091113,0.19166728854179382,0.35848015546798706,0.00024506800637176816,0.6660469323674687,pilot__rnn__t2__seed12,0.40703125,0.6440960210430583,0.46736417994788637,5.770821893772187,1.0,2.0,rnn,2.101513820037429,12,t2,ring-selected zero-retuning,baseline_all_v2
256,1.5181418097849035,0.008681559935212135,0.01104300282895565,0.0,0.13034593380706863,broad__calru__s1__lr0p01_eta1000_i50__seed10,0.999609375,0.9806717564276204,0.9872776124334366,1.0,1.0,1.0,calru,0.19788361184796643,10,s1,topology-specific validation-selected,selected_hparam_v1
256,1.5559032370974033,0.030672207474708557,0.06962388753890991,0.0,0.232279468366675,broad__calru__s2__lr0p003_eta1000_i50__seed10,0.8511718750000001,0.8898774170897326,0.6915021008902364,1.4704243905377572,1.0,2.0,calru,0.36140437674297354,10,s2,topology-specific validation-selected,selected_hparam_v1
256,2.5210299894263253,0.0073638553731143475,0.008933693170547485,0.0,0.08554159984090526,broad__calru__t2__lr0p01_eta1000_i50__seed10,0.8703125000000002,0.9528726766698226,1.1440116432099954,1.0765163583750623,1.0,2.0,calru,0.21565293854242834,10,t2,topology-specific validation-selected,selected_hparam_v1
256,1.6036626743389972,0.01750735193490982,0.02282210811972618,0.0,0.19921988621524395,refine__calru__s1__lr0p01_eta1000_i50__seed11,1.0,0.9940926424599771,0.8028565298557705,1.0,1.0,1.0,calru,0.3194814955094488,11,s1,topology-specific validation-selected,selected_hparam_v1
256,2.153175140120479,0.01473461277782917,0.019695919007062912,0.0,0.15323747803460794,refine__calru__s1__lr0p01_eta1000_i50__seed12,1.0,0.9896456296969173,1.4667162580854902,1.0,1.0,1.0,calru,0.32994712823887573,12,s1,topology-specific validation-selected,selected_hparam_v1
256,1.6345059210219806,0.04280852898955345,0.07294291257858276,0.0,0.24664574623135804,refine__calru__s2__lr0p003_eta1000_i50__seed11,0.9000000000000001,0.9401757946802598,0.7833403822628581,1.2549995195773758,1.0,2.0,calru,0.40314393261003956,11,s2,topology-specific validation-selected,selected_hparam_v1
256,1.5367379491401896,0.03277667611837387,0.06040211766958237,0.0,0.25246434738435314,refine__calru__s2__lr0p003_eta1000_i50__seed12,0.8941406250000001,0.9244616158183562,0.6554714863821457,1.3041176274598971,1.0,2.0,calru,0.3879715434304472,12,s2,topology-specific validation-selected,selected_hparam_v1
256,2.6205853652536035,0.011591396294534206,0.015643008053302765,0.0,0.07216422157527179,refine__calru__t2__lr0p01_eta1000_i50__seed11,0.8769531250000002,0.9538961428841649,1.214748160078923,1.090784336361377,1.0,2.0,calru,0.1891125029550756,11,t2,topology-specific validation-selected,selected_hparam_v1
256,2.8281299041422017,0.006505873054265976,0.006517421454191208,0.0,0.07268518098117059,refine__calru__t2__lr0p01_eta1000_i50__seed12,0.8414062500000001,0.9505336065427883,1.2895330783762329,1.103846371561892,1.0,2.0,calru,0.20556313392083658,12,t2,topology-specific validation-selected,selected_hparam_v1
256,2.6129383871000513,0.028263263404369354,0.013065139763057232,0.0,0.548400645919932,refine__hc__s1__lr0p003_a0p05_b0p1_eta300_i100__seed10,0.999609375,0.9864850191431401,1.90039501315464,1.0,1.0,1.0,hc,1.4329370992346533,10,s1,topology-specific validation-selected,selected_hparam_v1
256,3.48264829571524,0.021265504881739616,0.06368903070688248,0.0,0.1954586084472552,refine__hc__s2__lr0p003_a0p05_bm0p3_eta1000_i50__seed10,0.9132812500000002,0.9815984510894388,2.207711812605227,1.1954105913342654,1.0,2.0,hc,0.6807135895917058,10,s2,topology-specific validation-selected,selected_hparam_v1
256,3.2980567092018243,0.019875722005963326,0.017221733927726746,0.0,0.3339848822016456,refine__hc__t2__lr0p003_a0p025_bm0p1_eta300_i100__seed10,0.8515625000000001,0.9513461798280605,1.6238604432337205,1.1162441563772756,1.0,2.0,hc,1.1015010815171182,10,t2,topology-specific validation-selected,selected_hparam_v1
256,2.7332066700591566,0.028078367933630943,0.08048519492149353,0.0,0.3692996547923324,robust__hc__s1__finalist2_lr0p003_a0p05_b0p1_eta300_i100__seed11,1.0,0.9920594441585092,1.7831004156675727,1.0,1.0,1.0,hc,1.0093722797289468,11,s1,topology-specific validation-selected,selected_hparam_v1
256,2.9611180724311144,0.017084332183003426,0.011977446265518665,0.0,0.30378274139974504,robust__hc__s1__finalist2_lr0p003_a0p05_b0p1_eta300_i100__seed12,0.999609375,0.9808240445428035,1.890417935353999,1.0,1.0,1.0,hc,0.8995365656514527,12,s1,topology-specific validation-selected,selected_hparam_v1
256,3.3424665617247236,0.03133641183376312,0.06971568614244461,0.0,0.2529440424525363,robust__hc__s2__finalist2_lr0p003_a0p05_bm0p3_eta1000_i50__seed11,0.8742187500000003,0.9557483922300284,2.055898039199704,1.3441716890079427,1.0,2.0,hc,0.8454570038850816,11,s2,topology-specific validation-selected,selected_hparam_v1
256,3.5340245037028177,0.02116791531443596,0.034006740897893906,0.0,0.17156580595492815,robust__hc__s2__finalist2_lr0p003_a0p05_bm0p3_eta1000_i50__seed12,0.9128906250000002,0.9874877315184405,2.222936229803275,1.206091827816791,1.0,2.0,hc,0.6063177622422389,12,s2,topology-specific validation-selected,selected_hparam_v1
256,3.4420767091358644,0.019099224358797073,0.01553388312458992,0.0,0.305174934591064,robust__hc__t2__finalist2_lr0p003_a0p025_bm0p1_eta300_i100__seed11,0.8378906250000001,0.9484242808949986,1.7555232345663818,1.093486569712971,1.0,2.0,hc,1.0504355345679621,11,t2,topology-specific validation-selected,selected_hparam_v1
256,3.1218253071286908,0.020446617156267166,0.020044470205903053,0.0,0.33304766168886524,robust__hc__t2__finalist2_lr0p003_a0p025_bm0p1_eta300_i100__seed12,0.8375000000000002,0.9433993838735552,1.463736606428105,1.1613217600446726,1.0,2.0,hc,1.039716618740334,12,t2,topology-specific validation-selected,selected_hparam_v1
