job_id,model,topology,seed,completed,task_success,parameters_total,validation_nmse_db,validation_error,validation_hold_error,test_mean_error,test_terminal_error,test_trial_median,test_trial_p90,test_trial_p95,test_trial_p99,test_output_norm_error,test_hold_error,test_hold_relative_improvement,test_worst_coordinate_error,finite,selection_regime,source_analysis
pilot__gru__t2__seed12,gru,t2,12,True,True,51716,-25.07353973388672,0.01263304241001606,0.44855472445487976,0.012376618571579456,0.01905769854784012,0.01133582554757595,0.018719201907515526,0.02132677100598812,0.030436640605330467,0.01775018684566021,0.4420863389968872,0.9720041155815125,0.015772582963109016,True,ring-selected zero-retuning,baseline_all_v2
pilot__lstm__t2__seed10,lstm,t2,10,True,True,18180,-25.581893920898438,0.012849373742938042,0.44855472445487976,0.012513681314885616,0.021359991282224655,0.011611366644501686,0.019848287105560303,0.022469129413366318,0.02774220146238804,0.012754285708069801,0.4420863389968872,0.9716940522193909,0.01598656177520752,True,ring-selected zero-retuning,baseline_all_v2
pilot__lstm__t2__seed11,lstm,t2,11,True,True,18180,-25.092971801757812,0.013123773038387299,0.44855472445487976,0.01288391463458538,0.021675575524568558,0.011926423758268356,0.02132800593972206,0.024749934673309326,0.030992673709988594,0.013288754038512707,0.4420863389968872,0.9708566069602966,0.016428079456090927,True,ring-selected zero-retuning,baseline_all_v2
pilot__lstm__t2__seed12,lstm,t2,12,True,True,18180,-27.136327743530273,0.010496674105525017,0.44855472445487976,0.010399287566542625,0.016498755663633347,0.009404657408595085,0.016698366031050682,0.019234249368309975,0.02579028531908989,0.01282917894423008,0.4420863389968872,0.976476788520813,0.013185610994696617,True,ring-selected zero-retuning,baseline_all_v2
pilot__rnn__t2__seed10,rnn,t2,10,True,False,17796,-9.567566871643066,0.08156989514827728,0.44855472445487976,0.08266670256853104,0.12308898568153381,0.06453461945056915,0.14153946936130524,0.1827879101037979,0.36644768714904785,0.1237889900803566,0.4420863389968872,0.8130078315734863,0.10987932980060577,True,ring-selected zero-retuning,baseline_all_v2
pilot__rnn__t2__seed11,rnn,t2,11,True,False,17796,-14.775938034057617,0.04420476034283638,0.44855472445487976,0.04318700730800629,0.064803346991539,0.039069175720214844,0.06521093845367432,0.0770736038684845,0.11867956072092056,0.05408294498920441,0.4420863389968872,0.9023109078407288,0.05529282987117767,True,ring-selected zero-retuning,baseline_all_v2
pilot__rnn__t2__seed12,rnn,t2,12,True,False,17796,-7.391536712646484,0.11628380417823792,0.44855472445487976,0.11650124192237854,0.17855244874954224,0.09142640233039856,0.21719875931739807,0.3024120628833771,0.41925048828125,0.15434564650058746,0.4420863389968872,0.7364739775657654,0.15534870326519012,True,ring-selected zero-retuning,baseline_all_v2
broad__calru__s1__lr0p01_eta1000_i50__seed10,calru,s1,10,True,True,17058,-37.19720458984375,0.0027899411506950855,0.4132813811302185,0.0028484310023486614,0.004344994202256203,0.002071274444460869,0.005654953420162201,0.007628623861819506,0.01555480808019638,0.0017070111352950335,0.40762069821357727,0.9930120706558228,,True,topology-specific validation-selected,selected_hparam_v1
refine__calru__s1__lr0p01_eta1000_i50__seed11,calru,s1,11,True,True,17058,-23.954469680786133,0.014823663979768753,0.4132813811302185,0.015997163951396942,0.021709736436605453,0.012878214940428734,0.027649253606796265,0.033127982169389725,0.07886508107185364,0.005216089077293873,0.40762069821357727,0.9607547521591187,,True,topology-specific validation-selected,selected_hparam_v1
refine__calru__s1__lr0p01_eta1000_i50__seed12,calru,s1,12,True,True,17058,-22.481430053710938,0.018189657479524612,0.4132813811302185,0.018210720270872116,0.02915298193693161,0.015843739733099937,0.03427764028310776,0.04014343395829201,0.05403170362114906,0.0065536703914403915,0.40762069821357727,0.9553243517875671,,True,topology-specific validation-selected,selected_hparam_v1
refine__hc__s1__lr0p003_a0p05_b0p1_eta300_i100__seed10,hc,s1,10,True,True,22570,-33.43672180175781,0.004096767865121365,0.4132813811302185,0.004122708924114704,0.006026390939950943,0.0030999043956398964,0.0073814671486616135,0.009870867244899273,0.018817760050296783,0.004027994349598885,0.40762069821357727,0.9898859262466431,,True,topology-specific validation-selected,selected_hparam_v1
robust__hc__s1__finalist2_lr0p003_a0p05_b0p1_eta300_i100__seed11,hc,s1,11,True,True,22570,-20.050928115844727,0.018346138298511505,0.4132813811302185,0.01843670755624771,0.03479890152812004,0.011564116925001144,0.04428081586956978,0.06136901676654816,0.08421339839696884,0.015227971598505974,0.40762069821357727,0.9547699689865112,,True,topology-specific validation-selected,selected_hparam_v1
robust__hc__s1__finalist2_lr0p003_a0p05_b0p1_eta300_i100__seed12,hc,s1,12,True,True,22570,-31.640151977539062,0.0054444074630737305,0.4132813811302185,0.005348164588212967,0.008028938435018063,0.003980083391070366,0.010525727644562721,0.013451594859361649,0.020845400169491768,0.0036061392165720463,0.40762069821357727,0.9868795275688171,,True,topology-specific validation-selected,selected_hparam_v1
broad__calru__s2__lr0p003_eta1000_i50__seed10,calru,s2,10,True,True,17267,-21.02606773376465,0.02049138955771923,0.4013522267341614,0.020053613930940628,0.03351863473653793,0.016645226627588272,0.035658013075590134,0.046092286705970764,0.06582550704479218,0.010669820941984653,0.3943699598312378,0.9491502046585083,,True,topology-specific validation-selected,selected_hparam_v1
refine__calru__s2__lr0p003_eta1000_i50__seed11,calru,s2,11,True,False,17267,-13.892165184020996,0.04839681088924408,0.4013522267341614,0.04861988127231598,0.07811705768108368,0.03884153440594673,0.08427885919809341,0.10898107290267944,0.19445233047008514,0.03591712564229965,0.3943699598312378,0.8767150640487671,,True,topology-specific validation-selected,selected_hparam_v1
refine__calru__s2__lr0p003_eta1000_i50__seed12,calru,s2,12,True,False,17267,-18.298114776611328,0.02780994400382042,0.4013522267341614,0.028160864487290382,0.05068318173289299,0.021346334367990494,0.054349206387996674,0.0708598867058754,0.1132214292883873,0.016632359474897385,0.3943699598312378,0.9285927414894104,,True,topology-specific validation-selected,selected_hparam_v1
refine__hc__s2__lr0p003_a0p05_bm0p3_eta1000_i50__seed10,hc,s2,10,True,True,22779,-20.858888626098633,0.021639784798026085,0.4013522267341614,0.02171359397470951,0.03637807071208954,0.0175999253988266,0.03955211490392685,0.05068577080965042,0.07050605118274689,0.011464742943644524,0.3943699598312378,0.9449411034584045,,True,topology-specific validation-selected,selected_hparam_v1
robust__hc__s2__finalist2_lr0p003_a0p05_bm0p3_eta1000_i50__seed11,hc,s2,11,True,False,22779,-17.017614364624023,0.03289296478033066,0.4013522267341614,0.03297775238752365,0.060959916561841965,0.027511881664395332,0.06268434226512909,0.07673916220664978,0.11050746589899063,0.015300242230296135,0.3943699598312378,0.9163786172866821,,True,topology-specific validation-selected,selected_hparam_v1
robust__hc__s2__finalist2_lr0p003_a0p05_bm0p3_eta1000_i50__seed12,hc,s2,12,True,True,22779,-20.66608428955078,0.022290192544460297,0.4013522267341614,0.022614847868680954,0.036717645823955536,0.018824554979801178,0.03866459056735039,0.048792943358421326,0.06973107159137726,0.008472343906760216,0.3943699598312378,0.9426558017730713,,True,topology-specific validation-selected,selected_hparam_v1
broad__calru__t2__lr0p01_eta1000_i50__seed10,calru,t2,10,True,True,17320,-34.45299530029297,0.004256655462086201,0.44855472445487976,0.0041925907135009766,0.006843947805464268,0.003493009600788355,0.007755789905786514,0.009738917462527752,0.014128856360912323,0.0034409859217703342,0.4420863389968872,0.9905163645744324,0.005411590449512005,True,topology-specific validation-selected,selected_hparam_v1
refine__calru__t2__lr0p01_eta1000_i50__seed11,calru,t2,11,True,True,17320,-26.387298583984375,0.010683359578251839,0.44855472445487976,0.011161462403833866,0.017316807061433792,0.008679216727614403,0.021519849076867104,0.027278557419776917,0.04029066115617752,0.009422527626156807,0.4420863389968872,0.9747527241706848,0.014793111011385918,True,topology-specific validation-selected,selected_hparam_v1
refine__calru__t2__lr0p01_eta1000_i50__seed12,calru,t2,12,True,True,17320,-31.3701229095459,0.006148263346403837,0.44855472445487976,0.006228702142834663,0.01005959790199995,0.004796846304088831,0.012223622761666775,0.015154002234339714,0.02259824052453041,0.004481146112084389,0.4420863389968872,0.9859106540679932,0.00817969162017107,True,topology-specific validation-selected,selected_hparam_v1
