topology,model,model_label,eligible_seed_count,kick_radius_relative,recovery_horizon,recovery_ratio_median,recovery_ratio_min,recovery_ratio_max,same_memory_error_normalized_median,same_memory_error_normalized_min,same_memory_error_normalized_max,same_memory_error_radians_median,status
s1,rnn,RNN,1,0.1,512,0.014999906532466412,0.014999906532466412,0.014999906532466412,0.006294029299169779,0.006294029299169779,0.006294029299169779,0.01977327620775069,trajectory
s1,rnn,RNN,1,0.1,2048,0.0,0.0,0.0,0.006494705565273762,0.006494705565273762,0.006494705565273762,0.020403719291092793,survived
s1,gru,GRU,3,0.1,0,1.0,1.0,1.0,0.00392420869320631,0.003880758536979556,0.004038718994706869,0.012328265201730146,trajectory
s1,gru,GRU,3,0.1,1,0.5116640329360962,0.5089908242225647,0.5151111483573914,0.003730438882485032,0.0036868040915578604,0.003910823259502649,0.011719519387880694,trajectory
s1,gru,GRU,3,0.1,16,0.06913534551858902,0.0677035003900528,0.07050952315330505,0.003578049363568425,0.0035355817526578903,0.003826460801064968,0.011240773594768199,trajectory
s1,gru,GRU,3,0.1,128,0.01615597866475582,0.01594388112425804,0.016536816954612732,0.003615549299865961,0.003570853266865015,0.0038676334079355,0.011358583119150624,trajectory
s1,gru,GRU,3,0.1,512,0.01464501116424799,0.014562951400876045,0.015386782586574554,0.0035989931784570217,0.0035953496117144823,0.0038966890424489975,0.011306570529760359,trajectory
s1,gru,GRU,3,0.1,2048,0.008568071760237217,0.00808136910200119,0.008913165889680386,0.003668534103780985,0.00355904595926404,0.0039940387941896915,0.011525039789881958,survived
s1,lstm,LSTM,3,0.1,0,1.0,1.0,1.0,0.006756918504834175,0.006661644205451012,0.00681947311386466,0.021227485535691974,trajectory
s1,lstm,LSTM,3,0.1,1,0.46814632415771484,0.4678923189640045,0.47109562158584595,0.003003307618200779,0.002920272061601281,0.003140057437121868,0.009435169149809826,trajectory
s1,lstm,LSTM,3,0.1,16,0.02620301954448223,0.025521812960505486,0.02795451506972313,0.0026545526925474405,0.0025985052343457937,0.002775227651000023,0.008339523237474044,trajectory
s1,lstm,LSTM,3,0.1,128,0.016323482617735863,0.01620308868587017,0.01676616072654724,0.002662382088601589,0.0026000577490776777,0.002773660235106945,0.008364120010599801,trajectory
s1,lstm,LSTM,3,0.1,512,0.013101509772241116,0.012986976653337479,0.01473488099873066,0.0026767398230731487,0.0025917193852365017,0.0027789294254034758,0.008409226163737847,trajectory
s1,lstm,LSTM,3,0.1,2048,0.004493962042033672,0.0033533358946442604,0.00942450761795044,0.0025868327356874943,0.002469983883202076,0.002740840893238783,0.00812677471850142,survived
s1,calru,CA-LRU,3,0.1,0,1.0,1.0,1.0,0.001683932263404131,0.0014646893832832575,0.0022292560897767544,0.00529022922785325,trajectory
s1,calru,CA-LRU,3,0.1,1,0.7407665252685547,0.7394863367080688,0.7531737089157104,0.001306396909058094,0.0011721489718183875,0.0017887430731207132,0.004104166932169321,trajectory
s1,calru,CA-LRU,3,0.1,16,0.26405400037765503,0.25971901416778564,0.3007161021232605,0.000787647848483175,0.0007046344107948244,0.0010675378143787384,0.002474468694410549,trajectory
s1,calru,CA-LRU,3,0.1,128,0.2567593455314636,0.2560760974884033,0.29484450817108154,0.0008217048598453403,0.0007202673587016761,0.0010733475210145116,0.0025814619511091517,trajectory
s1,calru,CA-LRU,3,0.1,512,0.2567593455314636,0.2560760974884033,0.2948172092437744,0.0008217185968533158,0.0007202668930403888,0.001073347870260477,0.0025815051071924897,trajectory
s1,calru,CA-LRU,3,0.1,2048,0.2567593455314636,0.2560760974884033,0.2947085499763489,0.0008217634749598801,0.0007202668930403888,0.001073347870260477,0.0025816460959223794,survived
s1,rnn,RNN,1,0.25,0,1.0,1.0,1.0,0.03316374868154526,0.03316374868154526,0.03316374868154526,0.10418698922344077,trajectory
s1,rnn,RNN,1,0.25,1,0.8942261934280396,0.8942261934280396,0.8942261934280396,0.03192659094929695,0.03192659094929695,0.03192659094929695,0.10030034358047768,trajectory
s1,rnn,RNN,1,0.25,16,0.40801429748535156,0.40801429748535156,0.40801429748535156,0.017967747524380684,0.017967747524380684,0.017967747524380684,0.05644734362415055,trajectory
s1,rnn,RNN,1,0.25,128,0.010392948053777218,0.010392948053777218,0.010392948053777218,0.016814526170492172,0.016814526170492172,0.016814526170492172,0.05282439189081153,trajectory
s1,rnn,RNN,1,0.25,512,0.005477564875036478,0.005477564875036478,0.005477564875036478,0.015991918742656708,0.015991918742656708,0.015991918742656708,0.050240094438735235,trajectory
s1,rnn,RNN,1,0.25,2048,0.0,0.0,0.0,0.016746383160352707,0.016746383160352707,0.016746383160352707,0.052610314310763885,survived
s1,gru,GRU,3,0.25,0,1.0,1.0,1.0,0.009819548577070236,0.009707748889923096,0.010110070928931236,0.03084902167129196,trajectory
s1,gru,GRU,3,0.25,1,0.5114758014678955,0.5086216330528259,0.5149579048156738,0.009346050210297108,0.009219227358698845,0.009789704345166683,0.029361482680750735,trajectory
s1,gru,GRU,3,0.25,16,0.066982701420784,0.06536009907722473,0.06900407373905182,0.008967872709035873,0.008839033544063568,0.009571196511387825,0.028173403021035496,trajectory
s1,gru,GRU,3,0.25,128,0.006664084270596504,0.006360582076013088,0.0067644426599144936,0.00906264316290617,0.008929729461669922,0.009673560038208961,0.02847113318269179,trajectory
s1,gru,GRU,3,0.25,512,0.006154567003250122,0.005825144238770008,0.006377581972628832,0.00901694968342781,0.00899566151201725,0.009739724919199944,0.02832758288324562,trajectory
