job_id,model,model_label,topology,seed,task_success,validation_error,selection_regime,component_mse,condition_axis,condition_id,condition_label,condition_value,divergence_step,dwell_profile,dwell_step_mean_error_radians,finite,gp_length_scale,hold_baseline_mean_error_radians,horizon,last_quarter_mean_error_radians,moving_step_mean_error_radians,output_norm_absolute_error,post_blank_0_mean_error_radians,post_blank_0_median_error_radians,post_blank_128_mean_error_radians,post_blank_128_median_error_radians,post_blank_512_mean_error_radians,post_blank_512_median_error_radians,sequence_mean_error_radians,terminal_mean_error_radians,trial_median_error_radians,trial_p90_error_radians,velocity_scale
pilot__rnn__s1__seed12,rnn,RNN,s1,12,True,0.02054002322256565,ring-selected zero-retuning,0.15171688795089722,length,length_h1024,T=1024,1024,,variable_sparsity,0.34650737047195435,True,1.0,1.4843645095825195,1024,0.7800787091255188,0.4813362956047058,0.02279287949204445,0.8931747078895569,0.8735470175743103,0.977952778339386,0.9545443058013916,1.1579527854919434,1.1205408573150635,0.44830334186553955,0.8931747078895569,0.43525952100753784,0.721061646938324,1.0
pilot__rnn__s1__seed12,rnn,RNN,s1,12,True,0.02054002322256565,ring-selected zero-retuning,0.45972299575805664,length,length_h2048,T=2048,2048,,variable_sparsity,0.7018909454345703,True,1.0,1.5195776224136353,2048,1.5297338962554932,0.941572904586792,0.022401684895157814,1.7305076122283936,1.72612726688385,1.8198060989379883,1.8242682218551636,1.9933804273605347,2.039311647415161,0.8828054666519165,1.7305076122283936,0.8617313504219055,1.2926445007324219,1.0
pilot__rnn__s1__seed12,rnn,RNN,s1,12,True,0.02054002322256565,ring-selected zero-retuning,0.013054153881967068,length,length_h256,T=256,256,,variable_sparsity,0.0906844437122345,True,1.0,1.345548152923584,256,0.19441479444503784,0.12427087128162384,0.022699713706970215,0.22182700037956238,0.2022111415863037,0.3038923740386963,0.2682502269744873,0.4944396913051605,0.4456327259540558,0.11604081839323044,0.22182700037956238,0.10864099860191345,0.1898723691701889,1.0
pilot__rnn__s1__seed12,rnn,RNN,s1,12,True,0.02054002322256565,ring-selected zero-retuning,0.04542664811015129,length,length_h512,T=512,512,,variable_sparsity,0.1737920194864273,True,1.0,1.435025930404663,512,0.3909963071346283,0.24455218017101288,0.023017656058073044,0.4408576488494873,0.4111645221710205,0.5260317325592041,0.4947853088378906,0.7260341644287109,0.6895687580108643,0.2272017002105713,0.4408576488494873,0.21398039162158966,0.3696145713329315,1.0
pilot__rnn__s1__seed12,rnn,RNN,s1,12,True,0.02054002322256565,ring-selected zero-retuning,0.00530930794775486,smoothness,smooth_l0p5,GP ell=0.5,0.5,,variable_sparsity,0.05536253750324249,True,0.5,1.2179415225982666,128,0.1044393852353096,0.07228978723287582,0.027774285525083542,0.11759484559297562,0.10419463366270065,0.2060505747795105,0.18572759628295898,0.4195050299167633,0.3455476760864258,0.06812305748462677,0.11759484559297562,0.05590658634901047,0.12095955014228821,1.0
pilot__rnn__s1__seed12,rnn,RNN,s1,12,True,0.02054002322256565,ring-selected zero-retuning,0.004901682958006859,smoothness,smooth_l2,GP ell=2.0,2.0,,variable_sparsity,0.05202611908316612,True,2.0,1.252528429031372,128,0.10131849348545074,0.06744109094142914,0.02238425426185131,0.11634226143360138,0.09593415260314941,0.2035294622182846,0.17627668380737305,0.4180958867073059,0.35690781474113464,0.06364662200212479,0.11634226143360138,0.052816715091466904,0.11362126469612122,1.0
pilot__rnn__s1__seed12,rnn,RNN,s1,12,True,0.02054002322256565,ring-selected zero-retuning,0.002532974584028125,velocity,velocity_x0p5,0.5x,0.5,,variable_sparsity,0.046923842281103134,True,1.0,1.0554780960083008,128,0.07967382669448853,0.050591159611940384,0.01852451264858246,0.09174105525016785,0.08040332794189453,0.16422931849956512,0.15551424026489258,0.37190085649490356,0.3135509490966797,0.0496884360909462,0.09174105525016785,0.045289941132068634,0.0909641906619072,0.5
pilot__rnn__s1__seed12,rnn,RNN,s1,12,True,0.02054002322256565,ring-selected zero-retuning,0.021036524325609207,velocity,velocity_x1p5,1.5x,1.5,,variable_sparsity,0.09235769510269165,True,1.0,1.3258905410766602,128,0.16208377480506897,0.12160687893629074,0.045666784048080444,0.18418927490711212,0.11912869662046432,0.2662079930305481,0.20097994804382324,0.4677661955356598,0.4032557010650635,0.11440704762935638,0.18418927490711212,0.06627264618873596,0.20067423582077026,1.5
pilot__rnn__s1__seed12,rnn,RNN,s1,12,True,0.02054002322256565,ring-selected zero-retuning,0.06583201885223389,velocity,velocity_x2,2.0x,2.0,,variable_sparsity,0.20713293552398682,True,1.0,1.3806934356689453,128,0.3171911835670471,0.2502851188182831,0.09225045144557953,0.32835328578948975,0.1524503231048584,0.4269726276397705,0.23074841499328613,0.5827310085296631,0.4231712818145752,0.2396630048751831,0.32835328578948975,0.09130965173244476,0.558408260345459,2.0
pilot__gru__s1__seed10,gru,GRU,s1,10,True,0.008078450337052345,ring-selected zero-retuning,0.058211326599121094,combined,combined_h1024_x1p5,"T=1024, 1.5x",T1024_1.5x,,variable_sparsity,0.1475139856338501,True,1.0,1.4864857196807861,1024,0.2872466444969177,0.20042532682418823,0.018295632675290108,0.32235443592071533,0.18749594688415527,0.32950806617736816,0.19846773147583008,0.4070996642112732,0.3047003746032715,0.18746209144592285,0.32235443592071533,0.10905347764492035,0.3191539943218231,1.5
pilot__gru__s1__seed10,gru,GRU,s1,10,True,0.008078450337052345,ring-selected zero-retuning,0.19833651185035706,combined,combined_h1024_x2,"T=1024, 2.0x",T1024_2.0x,,variable_sparsity,0.23633000254631042,True,1.0,1.537050485610962,1024,0.6381881237030029,0.468098908662796,0.027093905955553055,0.7053348422050476,0.386746883392334,0.7064773440361023,0.3984336853027344,0.7435014247894287,0.4172992408275604,0.41131579875946045,0.7053348422050476,0.21447639167308807,1.1725925207138062,2.0
