topology,model,model_label,condition_id,condition_axis,condition_value,condition_label,seed_count,task_success_count,finite_count,sequence_mean_error_radians_median,sequence_mean_error_radians_min,sequence_mean_error_radians_max,terminal_mean_error_radians_median,terminal_mean_error_radians_min,terminal_mean_error_radians_max,last_quarter_mean_error_radians_median,last_quarter_mean_error_radians_min,last_quarter_mean_error_radians_max,trial_median_error_radians_median,trial_median_error_radians_min,trial_median_error_radians_max,trial_p90_error_radians_median,trial_p90_error_radians_min,trial_p90_error_radians_max,moving_step_mean_error_radians_median,moving_step_mean_error_radians_min,moving_step_mean_error_radians_max,dwell_step_mean_error_radians_median,dwell_step_mean_error_radians_min,dwell_step_mean_error_radians_max,component_mse_median,component_mse_min,component_mse_max,output_norm_absolute_error_median,output_norm_absolute_error_min,output_norm_absolute_error_max,hold_baseline_mean_error_radians_median,hold_baseline_mean_error_radians_min,hold_baseline_mean_error_radians_max,post_blank_0_mean_error_radians_median,post_blank_0_mean_error_radians_min,post_blank_0_mean_error_radians_max,post_blank_0_median_error_radians_median,post_blank_0_median_error_radians_min,post_blank_0_median_error_radians_max,post_blank_128_mean_error_radians_median,post_blank_128_mean_error_radians_min,post_blank_128_mean_error_radians_max,post_blank_128_median_error_radians_median,post_blank_128_median_error_radians_min,post_blank_128_median_error_radians_max,post_blank_512_mean_error_radians_median,post_blank_512_mean_error_radians_min,post_blank_512_mean_error_radians_max,post_blank_512_median_error_radians_median,post_blank_512_median_error_radians_min,post_blank_512_median_error_radians_max
t2,lstm,LSTM,dwell_p0p50,dwell,0.5,active p=0.50,3,3,3,0.04054529219865799,0.03317403793334961,0.04136137664318085,0.06673656404018402,0.05290170758962631,0.07320128381252289,0.06142605096101761,0.04893453046679497,0.06478989124298096,0.037657734006643295,0.029186412692070007,0.038677699863910675,0.06383209675550461,0.05325612798333168,0.06535062938928604,0.04080113023519516,0.03337505832314491,0.041790589690208435,0.040284663438797,0.03296925500035286,0.04092412441968918,0.0014260911848396063,0.000987121369689703,0.001429517986252904,0.013996284455060959,0.013026982545852661,0.014010455459356308,1.3930611610412598,1.3930611610412598,1.3930611610412598,0.06673656404018402,0.05290170758962631,0.07320128381252289,0.06230022385716438,0.047649580985307693,0.07011036574840546,0.1345033347606659,0.10957718640565872,0.1539040505886078,0.12463746219873428,0.10607751458883286,0.14714176952838898,0.3935544788837433,0.31499430537223816,0.40784555673599243,0.37785249948501587,0.3153839707374573,0.3876188397407532
t2,lstm,LSTM,dwell_p0p75,dwell,0.75,active p=0.75,3,3,3,0.03868969902396202,0.02986682951450348,0.03869117796421051,0.06127002835273743,0.04429814964532852,0.06595364958047867,0.056726984679698944,0.04144546762108803,0.05854552984237671,0.03497884422540665,0.02656298503279686,0.03630722314119339,0.05842173844575882,0.04773510619997978,0.06555937230587006,0.038862887769937515,0.030019531026482582,0.039015281945466995,0.03770671784877777,0.029405798763036728,0.038172777742147446,0.0012226244434714317,0.0008000816451385617,0.0013437445741146803,0.01322439219802618,0.012676332145929337,0.013734246604144573,1.492414951324463,1.492414951324463,1.492414951324463,0.06127002835273743,0.04429814964532852,0.06595364958047867,0.05464997515082359,0.04024942219257355,0.06333384662866592,0.1255677491426468,0.10672105848789215,0.15516410768032074,0.11615650355815887,0.10524285584688187,0.13931474089622498,0.3662744164466858,0.3298690915107727,0.419883131980896,0.3519626259803772,0.3212299346923828,0.3989953398704529
t2,lstm,LSTM,dwell_block64,dwell,middle_blank_64,64-step middle blank,3,3,3,0.0432833656668663,0.03593334183096886,0.04394342005252838,0.07578159123659134,0.06224410980939865,0.07750526815652847,0.07121924310922623,0.05763757601380348,0.0713745579123497,0.042172081768512726,0.03489810228347778,0.042809054255485535,0.07174479961395264,0.05526798218488693,0.07190768420696259,0.04368336498737335,0.03689020499587059,0.04376130923628807,0.04299468547105789,0.035355404019355774,0.044100500643253326,0.0015773293562233448,0.0010782522149384022,0.0016063080402091146,0.01136585883796215,0.011353971436619759,0.011744278483092785,1.2712488174438477,1.2712488174438477,1.2712488174438477,0.07578159123659134,0.06224410980939865,0.07750526815652847,0.07186934351921082,0.059293702244758606,0.07468347251415253,0.1363123655319214,0.11515162885189056,0.148287832736969,0.12945769727230072,0.1093410775065422,0.14585720002651215,0.3849066495895386,0.3238101005554199,0.39329737424850464,0.36633622646331787,0.31713545322418213,0.39396151900291443
t2,lstm,LSTM,smooth_l0p5,smoothness,0.5,GP ell=0.5,3,3,3,0.040282003581523895,0.034303128719329834,0.04118143022060394,0.06859836727380753,0.05367370694875717,0.0693528950214386,0.062176600098609924,0.04955940693616867,0.062427401542663574,0.03844870999455452,0.03192351013422012,0.03894804045557976,0.062076468020677567,0.05392492190003395,0.06394096463918686,0.03913906589150429,0.034013666212558746,0.04110116884112358,0.04142722859978676,0.03518962487578392,0.04378223046660423,0.0013208636082708836,0.00101983651984483,0.0015202934155240655,0.012511984445154667,0.012496493756771088,0.013024145737290382,1.3333122730255127,1.3333122730255127,1.3333122730255127,0.06859836727380753,0.05367370694875717,0.0693528950214386,0.06231458857655525,0.049885887652635574,0.06713990122079849,0.1333451271057129,0.1064419224858284,0.14943815767765045,0.1258581131696701,0.09895647317171097,0.14470629394054413,0.38269370794296265,0.3109472990036011,0.4056168794631958,0.360186904668808,0.2910495400428772,0.39048507809638977
t2,lstm,LSTM,smooth_l2,smoothness,2.0,GP ell=2.0,3,3,3,0.0388767383992672,0.03123747929930687,0.03979295864701271,0.06501077115535736,0.047850482165813446,0.0676078051328659,0.05890625715255737,0.044106148183345795,0.06167805939912796,0.034551918506622314,0.028241654857993126,0.038938168436288834,0.061069995164871216,0.04823216423392296,0.06423258781433105,0.037642233073711395,0.03031836450099945,0.038432855159044266,0.042657382786273956,0.034052252769470215,0.04395825043320656,0.0013115338515490294,0.0008744664373807609,0.0013589871814474463,0.01312783733010292,0.012930108234286308,0.013236365281045437,1.384145736694336,1.384145736694336,1.384145736694336,0.06501077115535736,0.047850482165813446,0.0676078051328659,0.05678749084472656,0.04274819418787956,0.061897825449705124,0.13327503204345703,0.10381998121738434,0.1381913125514984,0.12401589006185532,0.09947814792394638,0.12934458255767822,0.3839282691478729,0.3145359754562378,0.38748112320899963,0.3679294288158417,0.3021933138370514,0.3780294358730316
t2,lstm,LSTM,combined_h1024_x1p5,combined,T1024_1.5x,"T=1024, 1.5x",3,3,3,0.2748130261898041,0.20532168447971344,0.28402382135391235,0.46775510907173157,0.3404633104801178,0.47452670335769653,0.43800029158592224,0.31588831543922424,0.44153591990470886,0.23493321239948273,0.16344328224658966,0.237368643283844,0.4270170032978058,0.3494834303855896,0.45868247747421265,0.2734304368495941,0.21091850101947784,0.30102381110191345,0.23163574934005737,0.18807415664196014,0.2790736258029938,0.06102926656603813,0.041843339800834656,0.06862162053585052,0.02465403452515602,0.023935316130518913,0.027159277349710464,1.6279666423797607,1.6279666423797607,1.6279666423797607,0.46775510907173157,0.3404633104801178,0.47452670335769653,0.39413607120513916,0.2659803628921509,0.4145514965057373,0.4838780462741852,0.35260096192359924,0.528815507888794,0.4270905554294586,0.2912803888320923,0.4713321030139923,0.5970133543014526,0.4767608046531677,0.734819769859314,0.5413036346435547,0.41401106119155884,0.706129789352417
t2,lstm,LSTM,combined_h1024_x2,combined,T1024_2.0x,"T=1024, 2.0x",3,3,3,0.479611873626709,0.4329371452331543,0.5031405091285706,0.8135680556297302,0.72901451587677,0.8265752196311951,0.7321509122848511,0.6667235493659973,0.764750599861145,0.3515837490558624,0.318818598985672,0.3853225111961365,0.9557660222053528,0.9448385238647461,1.0019431114196777,0.49998557567596436,0.465573251247406,0.5509204268455505,0.3558993339538574,0.3323640525341034,0.41682711243629456,0.1647121012210846,0.1425010859966278,0.17786413431167603,0.05589048191905022,0.054673224687576294,0.06106464937329292,1.6543196439743042,1.6543196439743042,1.6543196439743042,0.8135680556297302,0.72901451587677,0.8265752196311951,0.620053768157959,0.5361131429672241,0.6624371409416199,0.8297346234321594,0.7251250743865967,0.8439462780952454,0.6509509682655334,0.500495195388794,0.6733539700508118,0.8834773302078247,0.77192223072052,0.9706578850746155,0.7443181276321411,0.6152441501617432,0.861344575881958
t2,calru,CA-LRU,id_h128,id,128,ID T=128,3,3,3,0.018219048157334328,0.012915785424411297,0.03346100077033043,0.0285229180008173,0.020814793184399605,0.048643868416547775,0.02614259161055088,0.019119516015052795,0.046094320714473724,0.01485432405024767,0.010373036377131939,0.027873389422893524,0.0323202908039093,0.023546509444713593,0.06477588415145874,0.020115762948989868,0.014215108007192612,0.03661109134554863,0.012410392053425312,0.008936632424592972,0.023813897743821144,0.0003117424785159528,0.00016066858370322734,0.001040756469592452,0.004332614131271839,0.003439114196226001,0.009166190400719643,1.3622474670410156,1.3622474670410156,1.3622474670410156,0.0285229180008173,0.020814793184399605,0.048643868416547775,0.02203463390469551,0.01683845743536949,0.036335255950689316,0.028989683836698532,0.02092047780752182,0.04888016730546951,0.02212844043970108,0.017451325431466103,0.03762583062052727,0.028989683836698532,0.02092047780752182,0.04888016730546951,0.02212844043970108,0.017451325431466103,0.03762583062052727
t2,calru,CA-LRU,length_h256,length,256,T=256,3,3,3,0.028138861060142517,0.01963770017027855,0.04839036613702774,0.04695455729961395,0.032095879316329956,0.08208681643009186,0.042567864060401917,0.029160497710108757,0.07164560258388519,0.02288972958922386,0.016227541491389275,0.040067948400974274,0.05124438554048538,0.03523816913366318,0.0949491560459137,0.03165188804268837,0.021774504333734512,0.053729988634586334,0.017315395176410675,0.013054306618869305,0.03193923830986023,0.0007994354236871004,0.0003719131927937269,0.002440772019326687,0.005147361196577549,0.0047190128825604916,0.010788904502987862,1.46852445602417,1.46852445602417,1.46852445602417,0.04695455729961395,0.032095879316329956,0.08208681643009186,0.03554932773113251,0.025898588821291924,0.058951590210199356,0.04724787548184395,0.03180155158042908,0.08243215829133987,0.03625308349728584,0.02658642642199993,0.05974125862121582,0.04724787548184395,0.03180155158042908,0.08243215084075928,0.03625308349728584,0.02658642642199993,0.05974125862121582
t2,calru,CA-LRU,length_h512,length,512,T=512,3,3,3,0.04514050483703613,0.031979240477085114,0.09059207141399384,0.07275934517383575,0.05872081220149994,0.19166608154773712,0.06826753914356232,0.05018308013677597,0.15961843729019165,0.03443356603384018,0.026191139593720436,0.06718696653842926,0.08614837378263474,0.06008126586675644,0.17248240113258362,0.05170285701751709,0.03594718128442764,0.10514146089553833,0.024939697235822678,0.019764777272939682,0.04580487683415413,0.0021484186872839928,0.0012941702734678984,0.010875817388296127,0.008889446035027504,0.007691758219152689,0.017865080386400223,1.5606231689453125,1.5606231689453125,1.5606231689453125,0.07275934517383575,0.05872081220149994,0.19166608154773712,0.05379899591207504,0.04473184049129486,0.11848855018615723,0.07271178811788559,0.05883599445223808,0.19223469495773315,0.053149525076150894,0.04472833126783371,0.11990763992071152,0.07271178811788559,0.05883599445223808,0.19223469495773315,0.053149525076150894,0.04472833126783371,0.11990762501955032
t2,calru,CA-LRU,length_h1024,length,1024,T=1024,3,3,3,0.06745360046625137,0.06281125545501709,0.1914924681186676,0.13218219578266144,0.1055334061384201,0.38420435786247253,0.11074946820735931,0.0976487323641777,0.3365776538848877,0.05482252687215805,0.04770469665527344,0.12218517810106277,0.12783589959144592,0.09985407441854477,0.41093090176582336,0.07746484875679016,0.07163852453231812,0.2286345362663269,0.03660242632031441,0.035608675330877304,0.07703349739313126,0.007461707107722759,0.004431457258760929,0.0436757430434227,0.02124917507171631,0.01291842944920063,0.0328853577375412,1.6176867485046387,1.6176867485046387,1.6176867485046387,0.13218219578266144,0.1055334061384201,0.38420435786247253,0.08384852111339569,0.07830243557691574,0.21278057992458344,0.13230447471141815,0.10578891634941101,0.3851853013038635,0.08508788794279099,0.0799209326505661,0.21465975046157837,0.13230448961257935,0.10578891634941101,0.3851853013038635,0.08508788794279099,0.0799209326505661,0.21465975046157837
t2,calru,CA-LRU,length_h2048,length,2048,T=2048,3,3,3,0.1447344273328781,0.10903185606002808,0.3672885298728943,0.35560205578804016,0.20231224596500397,0.7080877423286438,0.28031688928604126,0.17634010314941406,0.6273698806762695,0.10255765914916992,0.09226596355438232,0.2714283764362335,0.26314276456832886,0.19706109166145325,0.7937784790992737,0.16091465950012207,0.1233019307255745,0.439563125371933,0.09492391347885132,0.06510181725025177,0.14479303359985352,0.031180717051029205,0.01126537099480629,0.11540529131889343,0.0519389882683754,0.022550707682967186,0.06083285063505173,1.646860122680664,1.646860122680664,1.646860122680664,0.35560205578804016,0.20231224596500397,0.7080877423286438,0.20486006140708923,0.16698221862316132,0.4933883547782898,0.3582202196121216,0.2023850828409195,0.707969069480896,0.20521868765354156,0.16728271543979645,0.4878014624118805,0.3582202196121216,0.2023850828409195,0.707969069480896,0.20521868765354156,0.16728271543979645,0.4878014624118805
t2,calru,CA-LRU,velocity_x0p5,velocity,0.5,0.5x,3,3,3,0.011415516957640648,0.007769776973873377,0.020396344363689423,0.015977784991264343,0.011461382731795311,0.02622199058532715,0.014818459749221802,0.010565722361207008,0.02513851784169674,0.010083569213747978,0.0068499427288770676,0.018285777419805527,0.01948367804288864,0.012420093640685081,0.03788029029965401,0.012187657877802849,0.008533733896911144,0.02149556763470173,0.009050847962498665,0.005430171731859446,0.017029985785484314,0.00010759547876659781,5.318277544574812e-05,0.0003648998390417546,0.0036900248378515244,0.0028106989338994026,0.008970189839601517,1.1714093685150146,1.1714093685150146,1.1714093685150146,0.015977784991264343,0.011461382731795311,0.02622199058532715,0.013559147715568542,0.009092951193451881,0.020958134904503822,0.016486087813973427,0.011302651837468147,0.026418890804052353,0.01435778196901083,0.0089981434866786,0.02148035727441311,0.016486087813973427,0.011302651837468147,0.026418890804052353,0.01435778196901083,0.0089981434866786,0.02148035727441311
t2,calru,CA-LRU,velocity_x1p5,velocity,1.5,1.5x,3,3,3,0.029137108474969864,0.02357720211148262,0.056959427893161774,0.04600419104099274,0.039273444563150406,0.09465285390615463,0.04248503968119621,0.03604673594236374,0.08526377379894257,0.02027912065386772,0.014346664771437645,0.03938478231430054,0.06297418475151062,0.04259846732020378,0.11101866513490677,0.031762342900037766,0.02486315555870533,0.06128682568669319,0.021097373217344284,0.01963898539543152,0.043706826865673065,0.0011017383076250553,0.0010274536907672882,0.004270889330655336,0.006121882703155279,0.00528311962261796,0.011349763721227646,1.4481725692749023,1.4481725692749023,1.4481725692749023,0.04600419104099274,0.039273444563150406,0.09465285390615463,0.0289805568754673,0.02424420788884163,0.06320957839488983,0.04656529799103737,0.03959095478057861,0.095085009932518,0.029947062954306602,0.02416081540286541,0.06255541741847992,0.04656529799103737,0.03959095478057861,0.095085009932518,0.029947062954306602,0.02416081540286541,0.06255541741847992
t2,calru,CA-LRU,velocity_x2,velocity,2.0,2.0x,3,3,3,0.06667977571487427,0.06392119824886322,0.11793893575668335,0.11360085010528564,0.11140531301498413,0.19609561562538147,0.10001718997955322,0.09733027219772339,0.1787761002779007,0.028041347861289978,0.02148953080177307,0.05527935177087784,0.15620918571949005,0.15142664313316345,0.28604018688201904,0.06743733584880829,0.06582222878932953,0.12204326689243317,0.06435975432395935,0.05809931457042694,0.10536947846412659,0.012880444526672363,0.00890536792576313,0.02226170152425766,0.012868798337876797,0.012236170470714569,0.018337953835725784,1.4958068132400513,1.4958068132400513,1.4958068132400513,0.11360085010528564,0.11140531301498413,0.19609561562538147,0.04419239982962608,0.03723127394914627,0.08890779316425323,0.11563669890165329,0.11393600702285767,0.1964561492204666,0.04541183263063431,0.03782232105731964,0.08711744099855423,0.11563669890165329,0.11393600702285767,0.1964561492204666,0.04541183263063431,0.03782232105731964,0.08711730688810349
t2,calru,CA-LRU,dwell_dense,dwell,dense,dense,3,3,3,0.02290516346693039,0.015580585226416588,0.041277289390563965,0.03723561763763428,0.02585427649319172,0.06246944144368172,0.03416192904114723,0.023242253810167313,0.059211134910583496,0.01870596408843994,0.012812240049242973,0.033488694578409195,0.04098702594637871,0.02886434644460678,0.07764387130737305,0.02290516346693039,0.015580585226416588,0.041277289390563965,,,,0.0004953687312081456,0.00022390161757357419,0.0015718918293714523,0.004668567795306444,0.0033043147996068,0.009421290829777718,1.5411663055419922,1.5411663055419922,1.5411663055419922,0.03723561763763428,0.02585427649319172,0.06246944144368172,0.028307456523180008,0.02086212858557701,0.04772985726594925,0.037648819386959076,0.0256965309381485,0.06249910220503807,0.02982301451265812,0.021231113001704216,0.04667741805315018,0.037648819386959076,0.0256965309381485,0.06249910593032837,0.02982301451265812,0.021231113001704216,0.04667741805315018
